NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
BJP Healthcare LLC,Pharmacy,,1724 S colorado Street,lockhart,caldwell,"1724 South Colorado Street, Lockhart, TX, USA",78644,04/16/2021      ,17:01:49        ,0,50,0,0,340,390,0,(512) 398-2288,
Northwest Texas Hospital Pharmacy,Hospital,,1501 S Coulter St,Amarillo,Potter,1501 S Coulter St,79106,04/12/2021      ,16:22:22        ,242,0,0,0,0,242,0,(806) 354-1000,https://www.nwths.com/?utm_source=google-business&utm_medium=organic&utm_campaign=homepage
SPLENDORA PHARMACY,Federal Allocation,,13841 Hwy 59 Ste C,Splendora,Montgomery,13841 HIGHWAY 59 STE C Splendora 77372,77372,04/16/2021      ,17:10:31        ,0,30,0,0,0,30,0,,
EAGLE LAKE DRUGSTORE,Pharmacy,,702 S MCCARTY AVE,Eagle Lake,Colorado,702 S MCCARTY AVE EAGLE LAKE 77434,77434,04/17/2021      ,08:12:50        ,0,0,0,0,30,30,0,,
Evins Regional Juvenile Center/Utmb,Other,,,Edinburg,Hidalgo,3801 E Monte Cristo,78541,04/13/2021      ,18:18:18        ,0,80,0,0,80,160,0,,
Falls Community Hospital & Clinic,Vaccine Hub,M,322 Coleman Street, Marlin,Falls,"307 Live Oak Street Marlin, TX  76661",76661,04/13/2021      ,09:10:03        ,1170,0,1170,0,70,1240,1170,254-252-2667,http://www.fallshospital.com/
Health Plus Pharmacy,Federal Allocation,,,Mission,Hidalgo,3401 West Mile 5 Road Suite 2,78574,04/17/2021      ,09:20:34        ,0,0,0,0,65,65,0,(956) 424-3535,
Livingston Pharmacy ,Pharmacy,,,LIVINGSTON ,,"714 W Church St, Livingston, TX 77351",77351,04/15/2021      ,16:50:10        ,0,170,0,0,0,170,0,(936) 327-5519,http://www.localpharmacyrx.com/livingston-pharmacy
Irving Health Center Parkland Health And Hospital,Community Clinic,E,1800 N Britain Rd,Irving,Dallas,1800 N Britain Rd,75061,04/17/2021      ,00:25:17        ,0,0,0,100,0,0,100,214-266-3031,https://www.parklandhospital.com/locations/irving-health-center-7
HILL REGIONAL HOSPITAL,Hospital,M,101 Circle Dr,Hillsboro,Hill,101 Circle Dr,76645,04/16/2021      ,12:48:05        ,0,490,0,10,90,580,10,(254) 580-8500,https://www.hillregionalhospital.com/?utm_campaign=gmb-website&utm_medium=organic&utm_source=google
"Tesoro Medical Care., P.A.",Medical Practice,,101 W Village Blvd A,Laredo,Webb,"101 W Village Blvd A, Laredo, TX 78041",78041,04/16/2021      ,11:27:02        ,0,150,0,0,0,150,0,(956) 727-2997,
"Maxhealth Family, Internal And Sports Medicine",Medical Practice,,5207 Heritage Ave,Colleyville,Tarrant,"5207 Heritage Ave, Colleyville, TX, USA",76034,04/17/2021      ,04:28:07        ,0,563,0,0,0,563,0,,
MEMORIAL HERMANN MEMORIAL CITY,Vaccine Hub,Q,921 Gessner Rd,Houston,Harris,921 Gessner Rd,77024,04/16/2021      ,14:18:49        ,0,0,0,0,0,0,0,833-772-2864,https://memorialhermann.org/covid19vaccine
St Hope Foundation- GP,Other,Q,255 Northpoint Dr Suite 200,Houston,Harris,255 Northpoint Dr,77060,04/16/2021      ,09:20:58        ,0,200,0,300,190,390,300,(713) 778-1300,
UT Health Dell Medical School,Vaccine Hub,,1601 Trinity Avenue,Austin,Travis,1601 Trinity Avenue,78712,04/17/2021      ,10:43:36        ,0,0,0,0,0,0,0,1-833-UTCARES,https://uthealthaustin.org/patient-resources/covid-19-updates/covid-19-vaccination
Kelsey Seybold Main Campus,Medical Practice,,2727 West Holcombe Blvd,Houston,Harris,2727 West Holcombe Blvd,77025,04/16/2021      ,08:46:09        ,12654,0,0,0,0,12654,0,(713) 442-0000,https://www.kelsey-seybold.com/find-a-location/main-campus
Texas Oncology Cancer Center Mcallen  ,Other,V,1901 South Second Street,McAllen,Hidalgo,1901 South Second Street,78503,04/16/2021      ,10:34:32        ,0,0,0,290,0,0,290,956-687-5150,
IDEA Public Schools RGV HQ,Other,,2115 W Pike Blvd,Weslaco,Hidalgo,2115 W Pike Blvd,78596,04/16/2021      ,10:48:12        ,1170,0,0,0,0,1170,0,,
KEARNEY PARK PHARMACY,Federal Allocation,,502 W Kearney Stste 900,Mesquite,Dallas,502 W Kearney Stste 900,75149,04/14/2021      ,13:05:09        ,0,0,0,0,75,75,0,,
Mendoza's Pharmacy LLC,Federal Allocation,,102 S. University Blvd.,Kingsville,Kleberg,102 S University Blvd Kingsville 78363,78363,04/15/2021      ,17:35:10        ,0,0,0,0,200,200,0,,
OTTO KAISER MEMORIAL - KENEDY,Hospital,P,3349 US-181,Kenedy,Karnes,"3349 US-181, Kenedy, TX 78119",78119,04/15/2021      ,07:28:53        ,2088,0,0,0,0,2088,0,(830) 583-3401,http://www.okmh.org/
Kk Pharmacy,Pharmacy,,1411 West American Blvd,Muleshoe,Bailey,1411 West American Blvd,79347,04/16/2021      ,09:41:54        ,0,0,1014,0,0,0,1014,(806) 272-7511,https://www.mygnp.com/pharmacies/kks-pharmacy-51-dallas-tx-75233/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=5904493
Hometown Healthcare Cotulla ,Medical Practice,,408 N Giraud St,Cotulla,La Salle,"408 North Giraud Street, Cotulla, TX 78014",78014,04/16/2021      ,10:30:08        ,0,150,0,0,0,150,0,830-879-2279,no
PHARMACIA SANA,Federal Allocation,,,Irving,,1111 West Airport Freeway Suite 151,75062,04/16/2021      ,15:42:29        ,0,0,0,0,5,5,0,(469) 647-5291,
Chevron Houston Medical Clinic,Community Clinic,,1400 Smith St,Houston,Harris,1400 Smith St Houston 77002,77002,04/16/2021      ,16:46:04        ,0,682,0,0,0,682,0,(936) 443-8793,
Market Street Pharmacy 566,Pharmacy,,1929 Preston Rd,Plano,Collin,1929 Preston Rd,75093,04/17/2021      ,09:34:26        ,204,0,0,0,380,584,0,(972) 713-5515,https://local.pharmacy.marketstreetunited.com/tx/plano/1929-preston-rd.html
COSTCO PHARMACY 669,Federal Allocation,,2601 E. State Hwy 114,Southlake,Tarrant,2601 E STATE HIGHWAY 114 SOUTHLAKE 76092,76092,04/17/2021      ,10:42:37        ,0,40,0,0,0,40,0,,
BEAUMONT ELITE EMERGENCY CTR LLC,Medical Practice,R,4004 College Street, Beaumont,Jefferson,"4004 College Street, Beaumont, TX, 77707",77707,04/17/2021      ,08:35:48        ,0,110,0,0,0,110,0,(409) 840-4004,https://beaumontemergencycenter.com/
Med Clinic,Community Clinic,,3705 9th Ave,Port Arthur,Jefferson,3705 9th Ave Port Arthur 77642,77642,04/16/2021      ,08:53:15        ,0,66,0,0,0,66,0,,
Kroger Pharmacy 974,Pharmacy,,,Baytown ,,1700 N Alexander Dr ,77520,04/15/2021      ,08:05:00        ,108,10,0,0,100,218,0,,
Kroger Pharmacy 950,Other,R,1600 N 16th St,Orange,Orange,"1600 N 16th St Orange, TX 77630",77630,04/15/2021      ,08:05:00        ,174,140,0,0,95,409,0,(409) 883-8521,
Kroger Pharmacy 367,Pharmacy,,,Humble ,,3820 Atascocita Road ,77396,04/15/2021      ,08:05:00        ,54,0,0,0,85,139,0,,
Kroger Pharmacy 359,Pharmacy,,,Kingwood ,,25651 Highway 59 N ,77339,04/15/2021      ,08:05:00        ,138,0,0,0,100,238,0,,
Kroger Pharmacy 354,Pharmacy,,,Pasadena ,,3550 Spencer Hwy ,77504,04/15/2021      ,08:05:00        ,138,0,0,0,65,203,0,,
Kroger Pharmacy 351,Pharmacy,,,Houston ,,14710 Woodforest Blvd ,77015,04/15/2021      ,08:05:00        ,138,0,0,0,50,188,0,,
Kroger Pharmacy 342,Pharmacy,,,Seabrook ,,1905 El Mar Ln ,77586,04/15/2021      ,08:05:00        ,126,0,0,0,10,136,0,,
Kroger Pharmacy 337,Pharmacy,,,Pasadena ,,2619 Red Bluff ,77506,04/15/2021      ,08:05:00        ,114,0,0,0,65,179,0,,
Kroger Pharmacy 331,Pharmacy,,,Houston ,,12620 Woodforest Blvd Ste 200 ,77015,04/15/2021      ,08:05:00        ,144,0,0,0,15,159,0,,
Kroger Pharmacy 328,Pharmacy,,,Beaumont ,,3845 Phelan Blvd ,77707,04/15/2021      ,08:05:00        ,186,0,0,0,30,216,0,,
Kroger Pharmacy 325,Pharmacy,,,Beaumont ,,3965 Dowlen Rd,77706,04/15/2021      ,08:05:00        ,198,0,0,0,45,243,0,,
Kroger Pharmacy 322,Other,,,Pasadena ,,6767 Spencer Hwy,77505,04/15/2021      ,08:05:00        ,132,0,0,0,65,197,0,,
Kroger Pharmacy 319,Pharmacy,,, La Porte ,,1300 FM 655 RD,77571,04/15/2021      ,08:05:00        ,90,0,0,0,40,130,0,,
Kroger Pharmacy 318,Pharmacy,,19250 West Lake Houston Pkwy,Humble,Harris,19250 West Lake Houston Pkwy,77346,04/15/2021      ,08:05:00        ,120,0,0,0,35,155,0,(281) 812-4499,http://www.kroger.com/stores/details/034/00318?cid=loc_03400318PP_gmb
Kroger Pharmacy 310,Pharmacy,,3410 Northpark Dr,Kingwood,Harris,3410 Northpark Dr,77345,04/15/2021      ,08:05:00        ,144,20,0,0,80,244,0,(281) 361-7404,http://www.kroger.com/stores/details/034/00310?cid=loc_03400310PP_gmb
Kroger Pharmacy 190,Pharmacy,,9475 Fm 1960 Bypass Rd W,Humble,Harris,9475 Fm 1960 Bypass Rd W,77338,04/15/2021      ,08:05:00        ,1020,0,0,0,20,1040,0,(281) 973-5090,http://www.kroger.com/stores/details/034/00190?cid=loc_03400190PP_gmb
Kroger Pharmacy 150,Pharmacy,,6315 Garth Rd,Baytown,Harris,6315 Garth Rd,77521,04/15/2021      ,08:05:00        ,186,0,0,0,55,241,0,(346) 216-4155,http://www.kroger.com/stores/details/034/00150?cid=loc_03400150PP_gmb
Kroger Pharmacy 138,Pharmacy,,22030 Market Place Dr,New Caney,Montgomery,22030 Market Place Dr,77357,04/15/2021      ,08:05:00        ,66,0,0,0,100,166,0,(281) 747-5089,http://www.kroger.com/stores/details/011/00320?cid=loc_01100320PP_gmb
Kroger Pharmacy 346,Pharmacy,,,HOUSTON,,1505 WIRT RD , 77055,04/15/2021      ,08:05:00        ,0,100,78,0,0,100,78,,
Kroger Pharmacy 739,Other,,,Houston,,9125 W Sam Houston Pkwy ,77064,04/15/2021      ,08:05:00        ,162,40,0,0,5,207,0,281-447-0701,
Kroger Pharmacy 737,Pharmacy,,12400 Fm 1960 Rd W,Houston,Harris,12400 Fm 1960 Rd W,77065,04/15/2021      ,08:05:00        ,60,0,0,0,50,110,0,(832) 237-4890,https://www.kroger.com/stores/details/034/00737?cid=loc_03400737_gmb
Kroger Pharmacy 735,Pharmacy,,12555 Briar Forest Dr,Houston,Harris,12555 Briar Forest Dr,77077,04/15/2021      ,08:05:00        ,0,100,0,0,0,100,0,(281) 496-1092,http://www.kroger.com/stores/details/021/00735?cid=loc_02100735PP_gmb
Kroger Pharmacy 733,Pharmacy,,1550 W Grand Pkwy S,Katy,Fort Bend,1550 W Grand Pkwy S,77494,04/15/2021      ,08:05:00        ,0,30,144,0,55,85,144,(281) 693-0606,http://www.kroger.com/stores/details/034/00733?cid=loc_03400733PP_gmb
Kroger Pharmacy 396,Pharmacy,,6350 N Eldridge Pkwy,Houston,Harris,6350 N Eldridge Pkwy,77041,04/15/2021      ,08:05:00        ,12,0,0,0,0,12,0,(713) 896-8487,http://www.kroger.com/stores/details/034/00396?cid=loc_03400396PP_gmb
Kroger Pharmacy 392,Pharmacy,,6425 Fm 1464 Rd,Richmond,Fort Bend,6425 Fm 1464 Rd,77407,04/15/2021      ,08:05:00        ,0,140,0,0,0,140,0,(281) 277-2242,http://www.kroger.com/stores/details/034/00392?cid=loc_03400392PP_gmb
Kroger Pharmacy 378,Pharmacy,,6055 Fry Rd,Katy,Harris,6055 Fry Rd,77449,04/15/2021      ,08:05:00        ,0,0,144,0,0,0,144,(281) 858-7613,http://www.kroger.com/stores/details/034/00378?cid=loc_03400378PP_gmb
Kroger Pharmacy 374,Pharmacy,,8550 Highway 6 N,Houston,Harris,8550 Highway 6 N,77095,04/15/2021      ,08:05:00        ,90,100,0,0,100,290,0,(281) 463-2409,http://www.kroger.com/stores/details/034/00374?cid=loc_03400374PP_gmb
Kroger Pharmacy 363,Pharmacy,,9919 Westheimer Elmside,Houston,Harris,9919 Westheimer Elmside,77042,04/15/2021      ,08:05:00        ,90,70,0,0,0,160,0,(713) 532-5858,http://www.kroger.com/stores/details/011/00363?cid=loc_01100363PP_gmb
Kroger Pharmacy 362,Pharmacy,,17455 Spring Cypress Rd,Cypress,Harris,17455 Spring Cypress Rd,77429,04/15/2021      ,08:05:00        ,0,100,0,0,0,100,0,(281) 304-0971,http://www.kroger.com/stores/details/034/00362?cid=loc_03400362PP_gmb
Kroger Pharmacy 356,Pharmacy,,,Houston,,1352 W 43rd St ,77018,04/15/2021      ,08:05:00        ,0,0,42,0,200,200,42,,
Kroger Pharmacy 355,Pharmacy,,1938 W Gray St,Houston,Harris,1938 W Gray St,77019,04/15/2021      ,08:05:00        ,0,0,0,0,100,100,0,(713) 521-2317,http://www.kroger.com/stores/details/034/00355?cid=loc_03400355PP_gmb
Kroger Pharmacy 352,Pharmacy,,18030 Fm 529 Rd,Cypress,Harris,18030 Fm 529 Rd,77433,04/15/2021      ,08:05:00        ,144,10,144,0,0,154,144,(281) 550-6942,http://www.kroger.com/stores/details/034/00352?cid=loc_03400352PP_gmb
Kroger Pharmacy 349,Pharmacy,,1520 Eldridge Pkwy,Houston,Harris,1520 Eldridge Pkwy,77077,04/15/2021      ,08:05:00        ,0,100,0,0,0,100,0,(281) 496-7719,https://www.kroger.com/stores/details/034/00349?cid=loc_03400349_gmb
Kroger Pharmacy 336,Pharmacy,,22150 Westheimer Pkwy,Katy,Harris,22150 Westheimer Pkwy,77450,04/15/2021      ,08:05:00        ,0,170,0,0,100,270,0,(281) 828-8778,http://www.kroger.com/stores/details/034/00136?cid=loc_03400136PP_gmb
Kroger Pharmacy 312,Pharmacy,,1035 N Shepherd Dr,Houston,Harris,1035 N Shepherd Dr,77008,04/16/2021      ,19:41:17        ,0,0,0,0,5,5,0,(713) 880-4661,
Kroger Pharmacy 311,Pharmacy,,9330 Jones Rd,Houston,Harris,9330 Jones Rd,77065,04/15/2021      ,08:05:00        ,0,0,0,0,5,5,0,(281) 894-4859,http://www.kroger.com/stores/details/034/00311?cid=loc_03400311PP_gmb
Kroger Pharmacy 309,Pharmacy,,1801 S Voss Rd,Houston,Harris,1801 S Voss Rd,77057,04/15/2021      ,08:05:00        ,36,50,0,0,0,86,0,(713) 780-7643,http://www.kroger.com/stores/details/029/00572P?cid=loc_02900572PP_gmb
Kroger Pharmacy 179,Pharmacy,,,Cypress,,20355 Cypresswood Dr ,77433,04/15/2021      ,08:05:00        ,0,0,0,0,85,85,0,,
Kroger Pharmacy 161,Pharmacy,,,Houston,,14344 Memorial Dr ,77079,04/15/2021      ,08:05:00        ,0,100,0,0,0,100,0,,
Kroger Pharmacy 146,Pharmacy,,,Katy,,1712 Spring Green Blvd , 77494,04/15/2021      ,08:05:00        ,0,100,0,0,60,160,0,,
