NAME,TYPE,TSA,STREET,CITY,COUNTY,ADDRESS,ZIP,LAST_UPDATE_VAC,LAST_UPDATE_TIME_VAC,PFIZER_AVAILABLE,MODERNA_AVAILABLE,PFIZER_AVAILABLE2,MODERNA_AVAILABLE2,JJ_AVAILABLE,VACCINES_AVAILABLE,VACCINES_AVAILABLE2,PublicPhone,WEBSITE
Walgreens Pharmacy 04315,Other,,,,,"4130 LEGACY DR Plano, TX 75024",,04/14/2021      ,15:50:42        ,0,0,0,0,65,65,0,(972) 491-5677,https://www.walgreens.com/locator/walgreens-4130+legacy+dr-plano-tx-75024/id=4315
Village Health Partners- McKinney,Community Clinic,,,Mckinney,Collin,7300 Eldorado Parkway Ste 200,75070,03/26/2021      ,17:25:13        ,0,0,0,0,20,20,0,+1 214 964 0304,https://villagehealthpartners.com/mckinney-medical-village
Memphis Drug,Federal Allocation,,506 West Noel Street,Memphis,Hall,506 W NOEL ST MEMPHIS 79245,79245,04/14/2021      ,15:27:06        ,0,200,0,0,0,200,0,,
Overton Pharmacy,Other,,104 Overton St,Overton,Rusk,104 W Henderson St,75684,04/14/2021      ,15:35:13        ,0,200,0,200,0,200,200,(903)834-0154,
Hereford Health Clinic,Community Clinic,,540 W 15th,Hereford,Deaf Smith,540 W 15th,79045,04/14/2021      ,15:21:27        ,0,160,0,30,65,225,30,(806) 364-7512,https://dschd.org/clinic/
UMC El Paso Clinic Ysleta,Community Clinic,,300 S Zaragoza Rd,El Paso,El Paso,300 S Zaragoza Rd,79907,04/14/2021      ,08:31:43        ,1170,0,0,0,0,1170,0,,
Walgreens Pharmacy 11275,Pharmacy,,,,,"4746 TWIN CITY HWY Groves, TX 77619",,04/14/2021      ,15:02:50        ,0,0,0,0,100,100,0,(409) 960-6394,https://www.walgreens.com/locator/walgreens-4746+twin+city+hwy-groves-tx-77619/id=11275
Christus Spohn Health System - Kleberg,Vaccine Hub,U,1311 East General Cavazos Boulevard,Kingsville,Kleberg,"1311 East General Cavazos Boulevard, Kingsville, TX, 78363",78363,04/14/2021      ,09:52:36        ,1170,0,2440,0,0,1170,2440,877-335-5746,https://www.christushealth.org/vaccine
South San Medical Building Pharmacy,Federal Allocation,,919 Sw Military #105,San Antonio,Bexar,919 SW MILITARY DR STE 105 San Antonio 78221,78221,04/14/2021      ,14:46:39        ,0,0,0,0,215,215,0,,
Care First Clinic Family Medicine and Specialty,Community Clinic,H,"1106 South St, Nacogdoches, TX 75964",Nacogdoches,Nacogdoches,1106 South St,75964,04/05/2021      ,09:29:06        ,0,0,0,0,200,200,0,(936) 564-8611,
Accel Rehabilitation Hospital,Other,,Marsh Lane,Plano,Collin,2301 Marsh Lane,75093,04/14/2021      ,08:34:51        ,0,100,0,0,0,100,0,,
Walgreens Pharmacy 07251,Pharmacy,,, Houston ,,11038 Westheimer Rd,77042,04/14/2021      ,14:37:45        ,0,0,0,0,70,70,0,,
Trinity Clinic Mineola,Community Clinic,,1302 N Pacific St,Mineola,Wood,1302 N Pacific St,75773,04/14/2021      ,16:56:48        ,0,0,0,10,0,0,10,(903) 569-5383,https://www.christushealth.org/trinity/clinic/locations-directions/mineola?utm_source=organic&utm_medium=GMB&utm_campaign=website&y_source=1_MTE3ODEyMDUtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl
Medical Arts Pharmacy - San Angelo,Pharmacy,,2102 Pecos St,San Angelo,Tom Green,2102 Pecos Ste 4,76901,04/12/2021      ,18:47:50        ,0,0,0,0,380,380,0,(325) 949-4636,
"SAENZ MEDICAL PHARMACY LONESTAR, INC.",Federal Allocation,,Griffin Parkway,Mission,Hidalgo,2121 E. Griffin Parkway Ste 18,78572,04/14/2021      ,14:28:08        ,0,0,0,0,200,200,0,956-519-6500,
PERRYTON HEALTH CENTER,Community Clinic,, GARRETT DR,PERRYTON,OCHILTREE,3101 GARRETT DR,79070,04/14/2021      ,16:28:35        ,0,160,0,200,0,160,200,+18064357224,http://www.ochiltreehospital.com/perryton-health-center
MCCAMEY COUNTY HOSPITAL DISTRICT,Hospital,J,2500 S Highway 305,Mccamey,Upton,"2500 S Hwy 305,  McCAMEY, TX, 79752",79752,04/07/2021      ,13:13:19        ,0,0,152,60,110,110,212,(432) 652-4030,http://www.mccameyhospital.org/getpage.php?name=contact
Pattison First Family Clinic,Other,,3603 Front Street,Brookshire,Waller,"3603 S Front St #103, Brookshire, TX 77423",77423,04/12/2021      ,17:20:08        ,0,0,0,0,50,50,0,+12819344444,http://www.pffclinic.com/
Northwest Texas Hospital Pharmacy,Hospital,,1501 S Coulter St,Amarillo,Potter,1501 S Coulter St,79106,04/12/2021      ,16:22:22        ,242,0,0,0,0,242,0,(806) 354-1000,https://www.nwths.com/?utm_source=google-business&utm_medium=organic&utm_campaign=homepage
Imperical Care Internal Med,Other,,600 E Taylor,Sherman,Grayson,600 E Taylor,75090,04/14/2021      ,14:16:24        ,0,10,0,0,0,10,0,,
COSTCO PHARMACY 1049,Federal Allocation,,1225 State Hwy 276,Rockwall,Rockwall,1225 State Hwy 276,75032,04/14/2021      ,18:09:07        ,0,40,0,0,0,40,0,,
Northeast Family Practice,Other,,,El Paso,,4875 Maxwell Ave. ,El Paso,04/14/2021      ,18:44:20        ,0,90,0,100,50,140,100,,
Family Circle of Care Athens,Community Clinic,,1001 N. Palestine Street,Athens,Henderson,1001 North Palestine Street,75751,04/08/2021      ,15:58:40        ,0,112,0,149,0,112,149,9035359041,
DSHS - Gainesville,Other,,1714 Justice Center Blvd Ste A,Gainesville,Cooke,1714 Justice Center Blvd Ste A,76240,04/14/2021      ,13:05:07        ,0,50,0,100,5,55,100,,
Walgreens Pharmacy 12522,Pharmacy,,,,,"1620 S BROADWAY AVE Tyler, TX 75701",,04/14/2021      ,20:56:00        ,2466,0,0,0,100,2566,0,(903) 533-0367,https://www.walgreens.com/locator/walgreens-1620+s+broadway+ave-tyler-tx-75701/id=12522
Walgreens Pharmacy 01970,Pharmacy,,3407 Wells Branch Pkwy,Austin,Travis,3407 Wells Branch Pkwy,78728,04/12/2021      ,14:16:18        ,0,0,0,0,75,75,0,512-388-1539,https://www.walgreens.comocator/walgreens-29+new+derby+st-salem-ma-01970/id=2063
El Paso Pulmonary Association West,Medical Practice,,4305 N Mesa St,El Paso,El Paso,4305 N Mesa St Ste A,79902,04/14/2021      ,11:48:19        ,0,0,0,0,25,25,0,(915) 532-2477,http://www.elpasopulmonary.com/
Denton County Public Health,Vaccine Hub,E,"535 S Loop 288 #1003, Denton, TX 76205",Denton,Denton,535 S Loop 288,76205,04/14/2021      ,07:09:00        ,0,0,0,0,0,0,0, 940 349 2585,https://utswmed.org/covid-19/covid-19-vaccination/
Dept of Public Health - Bell County,Vaccine Hub,,820 N 31st St,Temple,Bell,"820 North 31st Street, Temple, TX, USA",76504,04/12/2021      ,08:15:10        ,0,0,0,0,0,0,0,(254) 778-4766,https://www.bellcountyhealth.org/
Brownsville Pharmacy 1 LLC,Pharmacy,,,Brownsville,,1205 Central Blvd,78520,04/14/2021      ,18:45:02        ,0,0,0,120,10,10,120,(956)548-0801,
Marfa Community Health Clinic,Community Clinic,J,406 South Summer St,Marfa,Presidio,406 S. Summer St,79843,04/13/2021      ,08:17:02        ,0,100,0,0,0,100,0,,
Central Teen Health Center,Other,,3014 Sealy St Rm 157,Galveston,Galveston,3014 Sealy St Rm 157 Galveston 77550,77550,04/14/2021      ,11:42:26        ,0,174,0,0,0,174,0,,
Moore County Internal Medicine,Other,,1405 E 1st St Ste 101,Dumas,Moore,1405 E 1st St Ste 101,79029,04/07/2021      ,14:47:00        ,0,0,0,0,40,40,0,(806) 935-9194,http://www.moorecountyinternalmed.com/
Kelsey Seybold Main Campus,Medical Practice,,2727 West Holcombe Blvd,Houston,Harris,2727 West Holcombe Blvd,77025,04/13/2021      ,17:32:41        ,3908,0,0,0,0,3908,0,(713) 442-0000,https://www.kelsey-seybold.com/find-a-location/main-campus
Dept of Public Health - Lamar County / Paris,Vaccine Hub,,400 W Sherman St,Paris,Lamar,400 W Sherman St,75460,04/09/2021      ,23:34:50        ,0,1000,0,310,650,1650,310,(903) 785-4561,http://www.parislamarhealth.com/
MEDICAL CENTER OF SOUTHEAST TEXAS,Hospital,R,2555 Jimmy Johnson Blvd,Port Arthur,Jefferson,2555 Jimmy Johnson Blvd,77640,04/14/2021      ,11:19:31        ,0,20,0,310,0,20,310,(409) 724-7389,https://www.medicalcentersetexas.org/
KEARNEY PARK PHARMACY,Federal Allocation,,502 W Kearney Stste 900,Mesquite,Dallas,502 W Kearney Stste 900,75149,04/14/2021      ,13:05:09        ,0,0,0,0,75,75,0,,
Clifton Medical Clinic,Medical Practice,,Posey Ave,Clifton,Bosque,201,76634,04/14/2021      ,14:01:07        ,0,0,0,0,10,10,0,(254) 675-8621,
"Nurses On Wheels, Inc",Other,,1101 Third Street,Corpus Christi,Nueces,1101 3RD ST Corpus Christi 78404,78404,04/14/2021      ,07:43:52        ,726,0,0,0,0,726,0,,
Divine Grace Pharmacy,Pharmacy,,1970 Us Highway 259 S,Diana,Upshur,1970 Us Highway 259 S,75640,04/07/2021      ,19:46:28        ,0,0,0,210,200,200,210,(430) 625-2600,https://divinegracerx.com/
Daniel's Pharmacy #2,Federal Allocation,,,ZAPATA,,408 N US HIGHWAY 83  ,78076,04/14/2021      ,10:40:23        ,0,0,0,0,80,80,0,,
Tlc Pharmacy And Medical Equipment - Beeville,Federal Allocation,,200 S Hillside Dr,Beeville,,"200 S Hillside Dr, Beeville, TX 78102",78102,04/14/2021      ,10:23:30        ,0,0,0,0,95,95,0,,
Medly Pharmacy,Federal Allocation,,,San Antonio,Bexar,13331 Nacogdoches Rd,78217,04/14/2021      ,10:22:40        ,0,0,0,0,100,100,0,,
Health Plus Pharmacy,Federal Allocation,,,Mission,Hidalgo,3401 West Mile 5 Road Suite 2,78574,04/14/2021      ,09:27:46        ,0,0,0,0,60,60,0,(956) 424-3535,
Dept of Public Health - Denton County / Lewisville Office,Local Health Department,E,190 N Valley Pkwy,Lewisville,Denton,190 N Valley Pkwy,75067,04/13/2021      ,08:41:03        ,0,0,0,400,0,0,400,972-434-4700,www.dentoncounty.gov/vaccine
Kroger Pharmacy 990,Pharmacy,,1215 North St,Nacogdoches,Nacogdoches,1215 North St,75961,04/12/2021      ,08:30:00        ,24,0,0,70,0,24,70,(936) 569-9884,http://www.kroger.com/stores/details/035/00990?cid=loc_03500990PP_gmb
Kroger Pharmacy 974,Pharmacy,,,Baytown ,,1700 N Alexander Dr ,77520,04/12/2021      ,08:30:00        ,162,40,0,0,100,302,0,,
Kroger Pharmacy 959,Pharmacy,,701 W Marshall Ave,Longview,Gregg,701 W Marshall Ave,75601,04/12/2021      ,08:30:00        ,0,0,0,0,120,120,0,(903) 758-0323,http://www.kroger.com/stores/details/021/00959?cid=loc_02100959PP_gmb
Kroger Pharmacy 957,Pharmacy,,1310 Clarksville St,Paris,Lamar,1310 Clarksville St,75460,04/12/2021      ,08:30:00        ,0,0,0,0,130,130,0,(903) 785-1922,http://www.kroger.com/stores/details/035/00957?cid=loc_03500957PP_gmb
Kroger Pharmacy 953,Pharmacy,,300 E End Blvd Hwy 80,Marshall,Harrison,300 E End Blvd Hwy 80,75670,04/12/2021      ,08:30:00        ,0,0,0,0,135,135,0,(903) 935-7410,http://www.kroger.com/stores/details/035/00953?cid=loc_03500953PP_gmb
Kroger Pharmacy 950,Other,R,1600 N 16th St,Orange,Orange,"1600 N 16th St Orange, TX 77630",77630,04/12/2021      ,08:30:00        ,240,170,0,0,90,500,0,(409) 883-8521,
Kroger Pharmacy 893,Pharmacy,,1919 Faithon P Lucas Blvd,Mesquite,Dallas,1919 Faithon P Lucas Blvd,75181,04/12/2021      ,08:30:00        ,0,0,0,0,100,100,0,(469) 726-0013,http://www.kroger.com/stores/details/035/00893?cid=loc_03500893PP_gmb
Kroger Pharmacy 879,Pharmacy,,6805 N Main,The Colony,Denton,6805 N Main,75056,04/12/2021      ,08:30:00        ,18,0,0,0,100,118,0,(972) 370-1006,http://www.kroger.com/stores/details/016/00879?cid=loc_01600879PP_gmb
Kroger Pharmacy 870,Pharmacy,,3770 Belt Line Rd,Addison,Dallas,3770 Belt Line Rd,75001,04/12/2021      ,08:30:00        ,24,0,0,0,100,124,0,(972) 620-0349,http://www.kroger.com/stores/details/035/00870?cid=loc_03500870PP_gmb
Kroger Pharmacy 851,Pharmacy,,2210 S Fielder Rd,Arlington,Tarrant,2210 S Fielder Rd,76013,04/12/2021      ,08:30:00        ,198,0,0,30,100,298,30,(817) 277-3533,http://www.kroger.com/stores/details/026/00851?cid=loc_02600851PP_gmb
Kroger Pharmacy 844,Pharmacy,,708 E Pipeline Rd,Hurst,Tarrant,708 E Pipeline Rd,76053,04/12/2021      ,08:30:00        ,12,0,0,0,105,117,0,(817) 285-8851,http://www.kroger.com/stores/details/035/00844?cid=loc_03500844PP_gmb
Kroger Pharmacy 824,Pharmacy,,1820 N Loy Lake Rd,Sherman,Grayson,1820 N Loy Lake Rd,75090,04/12/2021      ,08:30:00        ,0,0,0,0,135,135,0,(903) 868-1565,http://www.kroger.com/stores/details/035/00824?cid=loc_03500824PP_gmb
Kroger Pharmacy 817,Pharmacy,,2525 W Interstate 20,Grand Prairie,Dallas,2525 W Interstate 20,75052,04/12/2021      ,08:30:00        ,0,0,0,0,100,100,0,(972) 988-1366,http://www.kroger.com/stores/details/035/00542?cid=loc_03500542PP_gmb
Kroger Pharmacy 807,Pharmacy,,7201 Boulevard 26,North Richland Hills,Tarrant,7201 Boulevard 26,76180,04/12/2021      ,08:30:00        ,0,0,0,0,125,125,0,(817) 281-8310,http://www.kroger.com/stores/details/035/00807?cid=loc_03500807PP_gmb
Kroger Pharmacy 739,Other,,,Houston,,9125 W Sam Houston Pkwy ,77064,04/12/2021      ,08:30:00        ,0,100,0,0,10,110,0,281-447-0701,
Kroger Pharmacy 737,Pharmacy,,12400 Fm 1960 Rd W,Houston,Harris,12400 Fm 1960 Rd W,77065,04/12/2021      ,08:30:00        ,60,0,0,0,50,110,0,(832) 237-4890,https://www.kroger.com/stores/details/034/00737?cid=loc_03400737_gmb
Kroger Pharmacy 733,Pharmacy,,1550 W Grand Pkwy S,Katy,Fort Bend,1550 W Grand Pkwy S,77494,04/12/2021      ,08:30:00        ,0,100,0,0,50,150,0,(281) 693-0606,http://www.kroger.com/stores/details/034/00733?cid=loc_03400733PP_gmb
Kroger Pharmacy 695,Pharmacy,,5701 W Pleasant Ridge Rd,Arlington,Tarrant,5701 W Pleasant Ridge Rd,76016,04/12/2021      ,08:30:00        ,138,0,0,0,0,138,0,(817) 483-0354,http://www.kroger.com/stores/details/035/00695?cid=loc_03500695PP_gmb
Kroger Pharmacy 688,Pharmacy,,301 S Bowen Rd,Arlington,Tarrant,301 S Bowen Rd,76013,04/12/2021      ,08:30:00        ,6,0,0,0,100,106,0,(817) 277-0072,http://www.kroger.com/stores/details/029/00688?cid=loc_02900688PP_gmb
Kroger Pharmacy 607,Pharmacy,,2300 Gessner Rd,Houston,Harris,2300 Gessner Rd,77080,04/12/2021      ,08:30:00        ,0,30,0,0,0,30,0,(713) 467-9425,http://www.kroger.com/stores/details/034/00607?cid=loc_03400607PP_gmb
Kroger Pharmacy 599,Pharmacy,,4620 State Highway 121,Lewisville,Denton,4620 State Highway 121,75056,04/12/2021      ,08:30:00        ,12,0,0,0,115,127,0,(469) 535-2480,http://www.kroger.com/stores/details/035/00599?cid=loc_03500599PP_gmb
Kroger Pharmacy 596,Pharmacy,,2200 Fm 663,Midlothian,Ellis,2200 Fm 663,76065,04/12/2021      ,08:30:00        ,0,0,0,0,200,200,0,(469) 336-2041,http://www.kroger.com/stores/details/035/00596?cid=loc_03500596PP_gmb
Kroger Pharmacy 594,Pharmacy,,3300 E Broad St,Mansfield,Tarrant,3300 E Broad St,76063,04/12/2021      ,08:30:00        ,0,0,0,0,100,100,0,(817) 435-5418,http://www.kroger.com/stores/details/035/00594?cid=loc_03500594PP_gmb
Kroger Pharmacy 592,Pharmacy,,5101 W Sublett Rd,Arlington,Tarrant,5101 W Sublett Rd,76017,04/12/2021      ,08:30:00        ,54,0,0,0,0,54,0,(817) 516-3763,
Kroger Pharmacy 591,Pharmacy,,1631 Sw Wilshire Blvd,Burleson,Johnson,1631 Sw Wilshire Blvd,76028,04/12/2021      ,08:30:00        ,42,0,0,20,0,42,20,(817) 258-5952,http://www.kroger.com/stores/details/035/00591?cid=loc_03500591PP_gmb
Kroger Pharmacy 590,Pharmacy,,1004 S Crowley Rd,Crowley,Tarrant,1004 S Crowley Rd,76036,04/12/2021      ,08:30:00        ,144,0,0,0,0,144,0,(817) 297-0006,http://www.kroger.com/stores/details/035/00590?cid=loc_03500590PP_gmb
Kroger Pharmacy 589,Pharmacy,,4650 W University Dr,Prosper,Collin,4650 W University Dr,75078,04/12/2021      ,08:30:00        ,6,0,0,0,100,106,0,(972) 346-5244,http://www.kroger.com/stores/details/035/00589?cid=loc_03500589PP_gmb
Kroger Pharmacy 588,Pharmacy,,9140 Forest Ln,Dallas,Dallas,9140 Forest Ln,75243,04/12/2021      ,08:30:00        ,0,0,0,0,220,220,0,(214) 221-0978,http://www.kroger.com/stores/details/035/00588?cid=loc_03500588PP_gmb
Kroger Pharmacy 587,Pharmacy,,3939 Frankford Rd,Dallas,Denton,3939 Frankford Rd,75287,04/12/2021      ,08:30:00        ,24,0,0,0,100,124,0,(972) 662-1011,http://www.kroger.com/stores/details/035/00587?cid=loc_03500587PP_gmb
KROGER PHARMACY 585,Federal Allocation,,,Flower Mound ,,1101 Flower Mound Rd,75028,04/12/2021      ,08:30:00        ,30,0,0,0,0,30,0,,
Kroger Pharmacy 582,Pharmacy,,9135 Grapevine Hwy,North Richland Hills,Tarrant,9135 Grapevine Hwy,76180,04/12/2021      ,08:30:00        ,0,0,0,0,95,95,0,(817) 605-3937,http://www.kroger.com/stores/details/035/00582?cid=loc_03500582PP_gmb
KROGER PHARMACY 581,Federal Allocation,,,Plano,,2925 Custer Rd ,75075,04/12/2021      ,08:30:00        ,54,0,0,0,0,54,0,,
Kroger Pharmacy 580,Pharmacy,,2671 Little Elm Pkwy,Little Elm,Denton,2671 Little Elm Pkwy,75068,04/12/2021      ,08:30:00        ,198,0,0,0,0,198,0,(469) 888-5519,http://www.kroger.com/stores/details/035/00580?cid=loc_03500580PP_gmb
Kroger Pharmacy 579,Pharmacy,,500 Marketplace Blvd,Forney,Kaufman,500 Marketplace Blvd,75126,04/12/2021      ,08:30:00        ,162,0,0,0,200,362,0,(972) 564-8490,http://www.kroger.com/stores/details/035/00579?cid=loc_03500579PP_gmb
Kroger Pharmacy 577,Pharmacy,,7505 N Macarthur Blvd,Irving,Dallas,7505 N Macarthur Blvd,75063,04/12/2021      ,08:30:00        ,0,0,0,0,100,100,0,(972) 373-8158,http://www.kroger.com/stores/details/035/00577?cid=loc_03500577PP_gmb
Kroger Pharmacy 576,Pharmacy,,4750 W Bailey Boswell Rd,Fort Worth,Tarrant,4750 W Bailey Boswell Rd,76179,04/12/2021      ,08:30:00        ,78,0,0,0,0,78,0,(682) 316-7508,http://www.kroger.com/stores/details/026/00576?cid=loc_02600576PP_gmb
Kroger Pharmacy 574,Pharmacy,,1950 N Goliad St,Rockwall,Rockwall,1950 N Goliad St,75087,04/12/2021      ,08:30:00        ,0,0,0,0,110,110,0,(469) 651-6027,http://www.kroger.com/stores/details/026/00574?cid=loc_02600574PP_gmb
Kroger Pharmacy 573,Pharmacy,,1250 N Preston Road,Prosper,Collin,1250 N Preston Road,75078,04/12/2021      ,08:30:00        ,0,0,0,0,200,200,0,(972) 346-5210,http://www.kroger.com/stores/details/035/00573?cid=loc_03500573PP_gmb
Kroger Pharmacy 572,Pharmacy,,3400 Fm 407 E,Argyle,Denton,3400 Fm 407 E,76226,04/12/2021      ,08:30:00        ,30,0,0,0,200,230,0,(940) 294-8332,http://www.kroger.com/stores/details/035/00572?cid=loc_03500572PP_gmb
KROGER PHARMACY 568,Federal Allocation,,,Allen,,1320 W MCDERMOTT DR,75013,04/12/2021      ,08:30:00        ,0,0,0,0,100,100,0,,
Kroger Pharmacy 567,Pharmacy,,2901 Lake Forest Dr,Mckinney,Collin,2901 Lake Forest Dr,75072,04/12/2021      ,08:30:00        ,0,0,0,0,75,75,0,(972) 540-1172,http://www.kroger.com/stores/details/026/00567?cid=loc_02600567PP_gmb
Kroger Pharmacy 565,Pharmacy,,1801 N Lake Forest Dr,Mckinney,Collin,1801 N Lake Forest Dr,75071,04/12/2021      ,08:30:00        ,204,0,0,0,90,294,0,(469) 678-3882,http://www.kroger.com/stores/details/026/00565?cid=loc_02600565PP_gmb
KROGER PHARMACY 563,Federal Allocation,,,Plano,,4017 14th St,75074,04/12/2021      ,08:30:00        ,12,0,0,0,0,12,0,,
Kroger Pharmacy 562,Pharmacy,,12600 N Beach St,Fort Worth,Tarrant,12600 N Beach St,76244,04/12/2021      ,08:30:00        ,42,0,0,0,0,42,0,(817) 562-3901,http://www.kroger.com/stores/details/035/00562?cid=loc_03500562PP_gmb
Kroger Pharmacy 561,Federal Allocation,,,Frisco ,,12221 Custer Rd ,75035,04/12/2021      ,08:30:00        ,0,0,0,0,100,100,0,,
Kroger Pharmacy 560,Federal Allocation,,7500 Preston,Frisco,Collin,7500 Preston,75034,04/12/2021      ,08:30:00        ,0,0,0,0,70,70,0,,
Kroger Pharmacy 559,Pharmacy,,1406 W Walnut St,Garland,Dallas,1406 W Walnut St,75042,04/12/2021      ,08:30:00        ,66,0,1170,0,0,66,1170,(972) 494-3306,http://www.kroger.com/stores/details/035/00559?cid=loc_03500559PP_gmb
Kroger Pharmacy 557,Pharmacy,,6850 North Shiloh Road,Garland,Dallas,6850 North Shiloh Road,75044,04/12/2021      ,08:30:00        ,0,0,0,0,260,260,0,(972) 496-4503,http://www.kroger.com/stores/details/035/00557?cid=loc_03500557PP_gmb
Kroger Pharmacy 548,Pharmacy,,1210 N Greenville Ave,Allen,Collin,1210 N Greenville Ave,75002,04/12/2021      ,08:30:00        ,54,0,0,0,100,154,0,(214) 383-7100,https://www.kroger.com/stores/details/035/00548?cid=loc_03500548_gmb
Kroger Pharmacy 546,Pharmacy,,4851 Legacy Drive,Frisco,Collin,4851 Legacy Drive,75034,04/12/2021      ,08:30:00        ,0,0,0,0,100,100,0,(972) 377-0251,http://www.kroger.com/stores/details/035/00546?cid=loc_03500546PP_gmb
