District Number,District Name,County_1,County_2,County_3,County_4,County_5,County_6,County_7,County_8,County_9,County_10
20907,Columbia-Brazoria ISD,BRAZORIA,FORT BEND,MATAGORDA,WHARTON,,,,,,
20908,Pearland ISD,BRAZORIA,GALVESTON,HARRIS,,,,,,,
20910,Damon ISD,BRAZORIA,FORT BEND,WHARTON,,,,,,,
21901,College Station ISD,BRAZOS,BURLESON,GRIMES,,,,,,,
21902,Bryan ISD,BRAZOS,BURLESON,GRIMES,LEON,MADISON,ROBERTSON,,,,
22004,Terlingua CSD,BREWSTER,PRESIDIO,,,,,,,,
22901,Alpine ISD,BREWSTER,JEFF DAVIS,PECOS,PRESIDIO,,,,,,
22902,Marathon ISD,BREWSTER,PECOS,TERRELL,,,,,,,
22903,San Vicente ISD,BREWSTER,,,,,,,,,
23902,Silverton ISD,ARMSTRONG,BRISCOE,FLOYD,SWISHER,,,,,,
24901,Brooks County ISD,BROOKS,DUVAL,HIDALGO,JIM HOGG,JIM WELLS,KENEDY,KLEBERG,STARR,,
25901,Bangs ISD,BROWN,COLEMAN,,,,,,,,
25902,Brownwood ISD,BROWN,MILLS,,,,,,,,
25904,Blanket ISD,BROWN,COMANCHE,,,,,,,,
25905,May ISD,BROWN,COMANCHE,EASTLAND,,,,,,,
25906,Zephyr ISD,BROWN,COMANCHE,MILLS,,,,,,,
25908,Brookesmith ISD,BROWN,COLEMAN,MCCULLOCH,MILLS,SAN SABA,,,,,
25909,Early ISD,BROWN,,,,,,,,,
26901,Caldwell ISD,BRAZOS,BURLESON,LEE,MILAM,ROBERTSON,,,,,
26902,Somerville ISD,BURLESON,LEE,WASHINGTON,,,,,,,
26903,Snook ISD,BRAZOS,BURLESON,WASHINGTON,,,,,,,
27903,Burnet Cons ISD,BELL,BURNET,LAMPASAS,LLANO,SAN SABA,TRAVIS,WILLIAMSON,,,
27904,Marble Falls ISD,BLANCO,BURNET,LLANO,TRAVIS,,,,,,
28902,Lockhart ISD,BASTROP,CALDWELL,HAYS,TRAVIS,,,,,,
28903,Luling ISD,CALDWELL,GONZALES,GUADALUPE,,,,,,,
28906,Prairie Lea ISD,CALDWELL,GUADALUPE,,,,,,,,
29901,Calhoun County ISD,ARANSAS,CALHOUN,JACKSON,MATAGORDA,REFUGIO,VICTORIA,,,,
30901,Cross Plains ISD,BROWN,CALLAHAN,COLEMAN,EASTLAND,,,,,,
30902,Clyde Cons ISD,CALLAHAN,COLEMAN,JONES,SHACKELFORD,TAYLOR,,,,,
30903,Baird ISD,CALLAHAN,COLEMAN,EASTLAND,SHACKELFORD,,,,,,
30906,Eula ISD,CALLAHAN,SHACKELFORD,TAYLOR,,,,,,,
31901,Brownsville ISD,CAMERON,,,,,,,,,
31903,Harlingen Cons ISD,CAMERON,WILLACY,,,,,,,,
31905,La Feria ISD,CAMERON,HIDALGO,,,,,,,,
31906,Los Fresnos Cons ISD,CAMERON,WILLACY,,,,,,,,
31909,Point Isabel ISD,CAMERON,WILLACY,,,,,,,,
31911,Rio Hondo ISD,CAMERON,WILLACY,,,,,,,,
31912,San Benito Cons ISD,CAMERON,,,,,,,,,
31913,Santa Maria ISD,CAMERON,HIDALGO,,,,,,,,
31914,Santa Rosa ISD,CAMERON,HIDALGO,,,,,,,,
32902,Pittsburg ISD,CAMP,FRANKLIN,MORRIS,TITUS,UPSHUR,WOOD,,,,
33901,Groom ISD,ARMSTRONG,CARSON,DONLEY,GRAY,,,,,,
33902,Panhandle ISD,ARMSTRONG,CARSON,HUTCHINSON,MOORE,POTTER,RANDALL,,,,
33904,White Deer ISD,CARSON,GRAY,HUTCHINSON,ROBERTS,,,,,,
34901,Atlanta ISD,BOWIE,CASS,,,,,,,,
34902,Avinger ISD,CASS,MARION,MORRIS,,,,,,,
34903,Hughes Springs ISD,CASS,MORRIS,,,,,,,,
34905,Linden-Kildare Cons ISD,CASS,MARION,,,,,,,,
34906,McLeod ISD,CASS,MARION,,,,,,,,
34907,Queen City ISD,BOWIE,CASS,,,,,,,,
34909,Bloomburg ISD,CASS,,,,,,,,,
35901,Dimmitt ISD,CASTRO,DEAF SMITH,PARMER,RANDALL,,,,,,
35902,Hart ISD,CASTRO,HALE,LAMB,SWISHER,,,,,,
35903,Nazareth ISD,CASTRO,SWISHER,,,,,,,,
36901,Anahuac ISD,CHAMBERS,GALVESTON,LIBERTY,,,,,,,
36902,Barbers Hill ISD,CHAMBERS,GALVESTON,HARRIS,LIBERTY,,,,,,
36903,East Chambers ISD,CHAMBERS,GALVESTON,JEFFERSON,LIBERTY,,,,,,
37901,Alto ISD,ANDERSON,CHEROKEE,HOUSTON,NACOGDOCHES,,,,,,
37904,Jacksonville ISD,ANDERSON,CHEROKEE,,,,,,,,
37907,Rusk ISD,ANDERSON,CHEROKEE,NACOGDOCHES,RUSK,,,,,,
37908,New Summerfield ISD,CHEROKEE,RUSK,,,,,,,,
37909,Wells ISD,ANGELINA,CHEROKEE,HOUSTON,NACOGDOCHES,,,,,,
38901,Childress ISD,CHILDRESS,COTTLE,FOARD,HALL,HARDEMAN,,,,,
39902,Henrietta ISD,ARCHER,CLAY,WICHITA,,,,,,,
39903,Petrolia Cons ISD,CLAY,WICHITA,,,,,,,,
39904,Bellevue ISD,CLAY,MONTAGUE,,,,,,,,
39905,Midway ISD (Clay),ARCHER,CLAY,JACK,,,,,,,
40901,Morton ISD,BAILEY,COCHRAN,,,,,,,,
40902,Whiteface Cons ISD,BAILEY,COCHRAN,HOCKLEY,LAMB,TERRY,YOAKUM,,,,
41901,Bronte ISD,COKE,RUNNELS,TOM GREEN,,,,,,,
41902,Robert Lee ISD,COKE,MITCHELL,NOLAN,STERLING,TOM GREEN,,,,,
42901,Coleman ISD,BROWN,CALLAHAN,COLEMAN,RUNNELS,TAYLOR,,,,,
42903,Santa Anna ISD,BROWN,COLEMAN,MCCULLOCH,,,,,,,
42905,Panther Creek Cons ISD,COLEMAN,CONCHO,MCCULLOCH,RUNNELS,,,,,,
43901,Allen ISD,COLLIN,,,,,,,,,
43902,Anna ISD,COLLIN,GRAYSON,,,,,,,,
43903,Celina ISD,COLLIN,DENTON,GRAYSON,,,,,,,
43904,Farmersville ISD,COLLIN,HUNT,,,,,,,,
43905,Frisco ISD,COLLIN,DENTON,,,,,,,,
43907,McKinney ISD,COLLIN,,,,,,,,,
43908,Melissa ISD,COLLIN,,,,,,,,,
43910,Plano ISD,COLLIN,DALLAS,,,,,,,,
43911,Princeton ISD,COLLIN,,,,,,,,,
43912,Prosper ISD,COLLIN,DENTON,,,,,,,,
43914,Wylie ISD (Collin),COLLIN,DALLAS,ROCKWALL,,,,,,,
43917,Blue Ridge ISD,COLLIN,FANNIN,HUNT,,,,,,,
43918,Community ISD,COLLIN,HUNT,ROCKWALL,,,,,,,
43919,Lovejoy ISD,COLLIN,,,,,,,,,
44902,Wellington ISD,CHILDRESS,COLLINGSWORTH,DONLEY,HALL,WHEELER,,,,,
45902,Columbus ISD,AUSTIN,COLORADO,FAYETTE,,,,,,,
45903,Rice Cons ISD,AUSTIN,COLORADO,LAVACA,WHARTON,,,,,,
45905,Weimar ISD,COLORADO,FAYETTE,LAVACA,,,,,,,
46901,New Braunfels ISD,COMAL,GUADALUPE,,,,,,,,
46902,Comal ISD,BEXAR,BLANCO,COMAL,GUADALUPE,HAYS,KENDALL,,,,
47901,Comanche ISD,BROWN,COMANCHE,ERATH,MILLS,,,,,,
47902,De Leon ISD,COMANCHE,EASTLAND,ERATH,,,,,,,
47903,Gustine ISD,COMANCHE,HAMILTON,,,,,,,,
47905,Sidney ISD,BROWN,COMANCHE,,,,,,,,
48901,Eden Cons ISD,CONCHO,MENARD,SCHLEICHER,TOM GREEN,,,,,,
48903,Paint Rock ISD,COLEMAN,CONCHO,RUNNELS,TOM GREEN,,,,,,
49901,Gainesville ISD,COOKE,,,,,,,,,
49902,Muenster ISD,COOKE,MONTAGUE,,,,,,,,
49903,Valley View ISD (Cooke),COOKE,DENTON,,,,,,,,
49905,Callisburg ISD,COOKE,GRAYSON,,,,,,,,
49906,Era ISD,COOKE,DENTON,MONTAGUE,,,,,,,
49907,Lindsay ISD,COOKE,,,,,,,,,
49908,Walnut Bend ISD,COOKE,,,,,,,,,
49909,Sivells Bend ISD,COOKE,,,,,,,,,
50901,Evant ISD,CORYELL,HAMILTON,LAMPASAS,,,,,,,
50902,Gatesville ISD,BELL,BOSQUE,CORYELL,MCLENNAN,,,,,,
50904,Oglesby ISD,CORYELL,MCLENNAN,,,,,,,,
50909,Jonesboro ISD,BOSQUE,CORYELL,HAMILTON,,,,,,,
50910,Copperas Cove ISD,BELL,BURNET,CORYELL,LAMPASAS,,,,,,
51901,Paducah ISD,CHILDRESS,COTTLE,DICKENS,FOARD,HALL,KING,MOTLEY,,,
52901,Crane ISD,CRANE,CROCKETT,ECTOR,PECOS,UPTON,WARD,,,,
53001,Crockett County Cons CSD,CRANE,CROCKETT,IRION,PECOS,REAGAN,SCHLEICHER,SUTTON,TERRELL,UPTON,VAL VERDE
54901,Crosbyton Cons ISD,CROSBY,DICKENS,FLOYD,GARZA,KENT,MOTLEY,,,,
54902,Lorenzo ISD,CROSBY,FLOYD,GARZA,HALE,LUBBOCK,LYNN,,,,
54903,Ralls ISD,CROSBY,FLOYD,GARZA,,,,,,,
55901,Culberson County-Allamore ISD,CULBERSON,HUDSPETH,JEFF DAVIS,REEVES,,,,,,
56901,Dalhart ISD,DALLAM,HARTLEY,,,,,,,,
56902,Texline ISD,DALLAM,HARTLEY,,,,,,,,
57903,Carrollton-Farmers Branch ISD,COLLIN,DALLAS,DENTON,,,,,,,
57904,Cedar Hill ISD,DALLAS,ELLIS,TARRANT,,,,,,,
57905,Dallas ISD,COLLIN,DALLAS,DENTON,ELLIS,KAUFMAN,,,,,
57906,DeSoto ISD,DALLAS,ELLIS,,,,,,,,
57907,Duncanville ISD,DALLAS,,,,,,,,,
57909,Garland ISD,COLLIN,DALLAS,ROCKWALL,,,,,,,
57910,Grand Prairie ISD,DALLAS,TARRANT,,,,,,,,
57911,Highland Park ISD (Dallas),DALLAS,,,,,,,,,
57912,Irving ISD,DALLAS,TARRANT,,,,,,,,
57913,Lancaster ISD,DALLAS,ELLIS,,,,,,,,
57914,Mesquite ISD,DALLAS,KAUFMAN,,,,,,,,
57916,Richardson ISD,COLLIN,DALLAS,,,,,,,,
57919,Sunnyvale ISD,DALLAS,KAUFMAN,ROCKWALL,,,,,,,
57922,Coppell ISD,DALLAS,DENTON,TARRANT,,,,,,,
58902,Dawson ISD (Dawson),DAWSON,GAINES,LYNN,TERRY,,,,,,
58905,Klondike ISD,ANDREWS,DAWSON,GAINES,MARTIN,,,,,,
58906,Lamesa ISD,BORDEN,DAWSON,LYNN,,,,,,,
58909,Sands Consolidated ISD,BORDEN,DAWSON,HOWARD,MARTIN,,,,,,
59901,Hereford ISD,CASTRO,DEAF SMITH,PARMER,RANDALL,,,,,,
59902,Walcott ISD,DEAF SMITH,PARMER,,,,,,,,
60902,Cooper ISD,DELTA,FRANKLIN,HOPKINS,HUNT,LAMAR,RED RIVER,,,,
60914,Fannindel ISD,DELTA,FANNIN,HUNT,LAMAR,,,,,,
61901,Denton ISD,DENTON,,,,,,,,,
61902,Lewisville ISD,COLLIN,DALLAS,DENTON,TARRANT,,,,,,
61903,Pilot Point ISD,COLLIN,COOKE,DENTON,GRAYSON,,,,,,
61905,Krum ISD,DENTON,WISE,,,,,,,,
61906,Ponder ISD,DENTON,WISE,,,,,,,,
61907,Aubrey ISD,DENTON,,,,,,,,,
61908,Sanger ISD,COOKE,DENTON,,,,,,,,
61910,Argyle ISD,DENTON,,,,,,,,,
61911,Northwest ISD,DENTON,TARRANT,WISE,,,,,,,
61912,Lake Dallas ISD,DENTON,,,,,,,,,
61914,Little Elm ISD,DENTON,,,,,,,,,
62901,Cuero ISD,DE WITT,GONZALES,VICTORIA,,,,,,,
62902,Nordheim ISD,DE WITT,GOLIAD,KARNES,,,,,,,
62903,Yoakum ISD,DE WITT,GONZALES,LAVACA,VICTORIA,,,,,,
62904,Yorktown ISD,DE WITT,GOLIAD,GONZALES,KARNES,,,,,,
62905,Westhoff ISD,DE WITT,GONZALES,,,,,,,,
62906,Meyersville ISD,DE WITT,GOLIAD,VICTORIA,,,,,,,
63903,Spur ISD,CROSBY,DICKENS,FLOYD,GARZA,KENT,KING,MOTLEY,STONEWALL,,
63906,Patton Springs ISD,COTTLE,DICKENS,KING,MOTLEY,,,,,,
64903,Carrizo Springs Cons ISD,DIMMIT,FRIO,LA SALLE,MAVERICK,WEBB,ZAVALA,,,,
65901,Clarendon ISD,ARMSTRONG,BRISCOE,DONLEY,GRAY,HALL,,,,,
65902,Hedley ISD,COLLINGSWORTH,DONLEY,GRAY,HALL,,,,,,
66005,Ramirez CSD,BROOKS,DUVAL,JIM HOGG,JIM WELLS,,,,,,
66901,Benavides ISD,DUVAL,JIM HOGG,WEBB,,,,,,,
66902,San Diego ISD,DUVAL,JIM WELLS,LIVE OAK,MCMULLEN,,,,,,
66903,Freer ISD,DUVAL,LA SALLE,MCMULLEN,WEBB,,,,,,
67902,Cisco ISD,CALLAHAN,EASTLAND,SHACKELFORD,STEPHENS,,,,,,
67903,Eastland ISD,EASTLAND,STEPHENS,,,,,,,,
67904,Gorman ISD,COMANCHE,EASTLAND,,,,,,,,
67907,Ranger ISD,EASTLAND,ERATH,PALO PINTO,STEPHENS,,,,,,
67908,Rising Star ISD,BROWN,COMANCHE,EASTLAND,,,,,,,
68901,Ector County ISD,ANDREWS,CRANE,ECTOR,MIDLAND,UPTON,WARD,WINKLER,,,
69901,Rocksprings ISD,EDWARDS,KERR,KIMBLE,KINNEY,REAL,SUTTON,VAL VERDE,,,
69902,Nueces Canyon Cons ISD,EDWARDS,KINNEY,REAL,UVALDE,,,,,,
70901,Avalon ISD,ELLIS,NAVARRO,,,,,,,,
70903,Ennis ISD,ELLIS,HENDERSON,KAUFMAN,NAVARRO,,,,,,
70905,Ferris ISD,DALLAS,ELLIS,KAUFMAN,,,,,,,
70907,Italy ISD,ELLIS,NAVARRO,,,,,,,,
70908,Midlothian ISD,DALLAS,ELLIS,JOHNSON,TARRANT,,,,,,
70909,Milford ISD,ELLIS,HILL,,,,,,,,
70910,Palmer ISD,ELLIS,,,,,,,,,
70911,Red Oak ISD,DALLAS,ELLIS,,,,,,,,
70912,Waxahachie ISD,ELLIS,,,,,,,,,
70915,Maypearl ISD,ELLIS,HILL,JOHNSON,,,,,,,
71901,Clint ISD,EL PASO,HUDSPETH,,,,,,,,
71902,El Paso ISD,EL PASO,,,,,,,,,
71903,Fabens ISD,EL PASO,,,,,,,,,
71904,San Elizario ISD,EL PASO,,,,,,,,,
71905,Ysleta ISD,EL PASO,,,,,,,,,
71906,Anthony ISD,EL PASO,,,,,,,,,
71907,Canutillo ISD,EL PASO,,,,,,,,,
71908,Tornillo ISD,EL PASO,HUDSPETH,,,,,,,,
71909,Socorro ISD,EL PASO,,,,,,,,,
72901,Three Way ISD,ERATH,HOOD,SOMERVELL,,,,,,,
72902,Dublin ISD,COMANCHE,ERATH,,,,,,,,
72903,Stephenville ISD,ERATH,,,,,,,,,
72904,Bluff Dale ISD,ERATH,HOOD,,,,,,,,
72908,Huckabay ISD,EASTLAND,ERATH,PALO PINTO,,,,,,,
72909,Lingleville ISD,COMANCHE,EASTLAND,ERATH,,,,,,,
72910,Morgan Mill ISD,ERATH,PALO PINTO,,,,,,,,
73901,Chilton ISD,FALLS,MCLENNAN,,,,,,,,
73903,Marlin ISD,FALLS,LIMESTONE,MCLENNAN,MILAM,ROBERTSON,,,,,
73904,Westphalia ISD,BELL,FALLS,,,,,,,,
73905,Rosebud-Lott ISD,BELL,FALLS,MILAM,ROBERTSON,,,,,,
74903,Bonham ISD,FANNIN,HUNT,,,,,,,,
74904,Dodd City ISD,FANNIN,,,,,,,,,
74905,Ector ISD,FANNIN,,,,,,,,,
74907,Honey Grove ISD,FANNIN,LAMAR,,,,,,,,
74909,Leonard ISD,COLLIN,FANNIN,HUNT,,,,,,,
74911,Savoy ISD,FANNIN,GRAYSON,,,,,,,,
74912,Trenton ISD,COLLIN,FANNIN,GRAYSON,,,,,,,
74917,Sam Rayburn ISD,FANNIN,,,,,,,,,
75901,Flatonia ISD,BASTROP,CALDWELL,FAYETTE,GONZALES,LAVACA,,,,,
75902,La Grange ISD,BASTROP,COLORADO,FAYETTE,LEE,,,,,,
75903,Schulenburg ISD,COLORADO,FAYETTE,LAVACA,,,,,,,
75906,Fayetteville ISD,AUSTIN,COLORADO,FAYETTE,,,,,,,
75908,Round Top-Carmine ISD,AUSTIN,FAYETTE,LEE,WASHINGTON,,,,,,
76903,Roby Cons ISD,FISHER,JONES,SCURRY,,,,,,,
76904,Rotan ISD,FISHER,KENT,SCURRY,STONEWALL,,,,,,
77901,Floydada ISD,BRISCOE,CROSBY,DICKENS,FLOYD,HALE,MOTLEY,,,,
77902,Lockney ISD,BRISCOE,FLOYD,HALE,SWISHER,,,,,,
78901,Crowell ISD,BAYLOR,COTTLE,FOARD,HARDEMAN,KING,KNOX,WILBARGER,,,
79901,Lamar Cons ISD,AUSTIN,BRAZORIA,FORT BEND,WALLER,WHARTON,,,,,
79906,Needville ISD,BRAZORIA,FORT BEND,WHARTON,,,,,,,
79907,Fort Bend ISD,BRAZORIA,FORT BEND,HARRIS,,,,,,,
79910,Stafford MSD,FORT BEND,HARRIS,,,,,,,,
80901,Mount Vernon ISD,CAMP,FRANKLIN,HOPKINS,RED RIVER,TITUS,WOOD,,,,
81902,Fairfield ISD,ANDERSON,FREESTONE,NAVARRO,,,,,,,
81904,Teague ISD,FREESTONE,LEON,LIMESTONE,,,,,,,
81905,Wortham ISD,FREESTONE,LIMESTONE,NAVARRO,,,,,,,
81906,Dew ISD,FREESTONE,,,,,,,,,
82902,Dilley ISD,DIMMIT,FRIO,LA SALLE,ZAVALA,,,,,,
82903,Pearsall ISD,ATASCOSA,FRIO,LA SALLE,MEDINA,UVALDE,ZAVALA,,,,
83901,Seagraves ISD,GAINES,TERRY,YOAKUM,,,,,,,
83902,Loop ISD,DAWSON,GAINES,TERRY,,,,,,,
83903,Seminole ISD,ANDREWS,DAWSON,GAINES,MARTIN,YOAKUM,,,,,
84901,Dickinson ISD,CHAMBERS,GALVESTON,,,,,,,,
84902,Galveston ISD,BRAZORIA,CHAMBERS,GALVESTON,,,,,,,
84903,High Island ISD,CHAMBERS,GALVESTON,,,,,,,,
84906,Texas City ISD,GALVESTON,,,,,,,,,
84908,Hitchcock ISD,BRAZORIA,GALVESTON,,,,,,,,
84909,Santa Fe ISD,BRAZORIA,GALVESTON,,,,,,,,
84910,Clear Creek ISD,BRAZORIA,CHAMBERS,GALVESTON,HARRIS,,,,,,
84911,Friendswood ISD,BRAZORIA,GALVESTON,HARRIS,,,,,,,
85902,Post ISD,BORDEN,CROSBY,GARZA,KENT,LYNN,SCURRY,,,,
85903,Southland ISD,CROSBY,GARZA,LUBBOCK,LYNN,,,,,,
86024,Doss Cons CSD,GILLESPIE,KIMBLE,MASON,,,,,,,
86901,Fredericksburg ISD,BLANCO,GILLESPIE,KENDALL,KERR,LLANO,MASON,,,,
86902,Harper ISD,GILLESPIE,KERR,KIMBLE,MASON,,,,,,
87901,Glasscock ISD,GLASSCOCK,HOWARD,MARTIN,MIDLAND,REAGAN,STERLING,UPTON,,,
88902,Goliad ISD,BEE,DE WITT,GOLIAD,KARNES,REFUGIO,VICTORIA,,,,
89901,Gonzales ISD,CALDWELL,DE WITT,GONZALES,GUADALUPE,,,,,,
89903,Nixon-Smiley Cons ISD,DE WITT,GONZALES,GUADALUPE,KARNES,WILSON,,,,,
89905,Waelder ISD,BASTROP,CALDWELL,FAYETTE,GONZALES,,,,,,
90902,Lefors ISD,GRAY,WHEELER,,,,,,,,
90903,McLean ISD,COLLINGSWORTH,DONLEY,GRAY,WHEELER,,,,,,
90904,Pampa ISD,CARSON,GRAY,HUTCHINSON,ROBERTS,,,,,,
90905,Grandview-Hopkins ISD,CARSON,GRAY,,,,,,,,
91901,Bells ISD,FANNIN,GRAYSON,,,,,,,,
91902,Collinsville ISD,COOKE,GRAYSON,,,,,,,,
91903,Denison ISD,FANNIN,GRAYSON,,,,,,,,
91905,Howe ISD,GRAYSON,,,,,,,,,
91906,Sherman ISD,GRAYSON,,,,,,,,,
91907,Tioga ISD,COOKE,DENTON,GRAYSON,,,,,,,
91908,Van Alstyne ISD,COLLIN,GRAYSON,,,,,,,,
91909,Whitesboro ISD,COOKE,GRAYSON,,,,,,,,
91910,Whitewright ISD,COLLIN,FANNIN,GRAYSON,,,,,,,
91913,Pottsboro ISD,GRAYSON,,,,,,,,,
91914,S and S Cons ISD,GRAYSON,,,,,,,,,
91917,Gunter ISD,COLLIN,GRAYSON,,,,,,,,
91918,Tom Bean ISD,GRAYSON,,,,,,,,,
92901,Gladewater ISD,GREGG,SMITH,UPSHUR,,,,,,,
