"Date","County","Cases_Daily"
2020-08-10,"Anderson",1
2020-08-11,"Anderson",3
2020-08-12,"Anderson",22
2020-08-13,"Anderson",9
2020-08-14,"Anderson",0
2020-08-15,"Anderson",0
2020-08-16,"Anderson",0
2020-08-17,"Anderson",0
2020-08-18,"Anderson",4
2020-08-19,"Anderson",0
2020-08-20,"Anderson",0
2020-08-21,"Anderson",1
2020-08-22,"Anderson",8
2020-08-23,"Anderson",0
2020-08-24,"Anderson",6
2020-08-25,"Anderson",18
2020-08-26,"Anderson",4
2020-08-27,"Anderson",29
2020-08-28,"Anderson",13
2020-08-29,"Anderson",7
2020-08-30,"Anderson",0
2020-08-31,"Anderson",0
2020-03-04,"Andrews",0
2020-03-05,"Andrews",0
2020-03-06,"Andrews",0
2020-03-07,"Andrews",0
2020-03-08,"Andrews",0
2020-03-09,"Andrews",0
2020-03-10,"Andrews",0
2020-03-11,"Andrews",0
2020-03-12,"Andrews",0
2020-03-13,"Andrews",0
2020-03-14,"Andrews",0
2020-03-15,"Andrews",0
2020-03-16,"Andrews",0
2020-03-17,"Andrews",0
2020-03-18,"Andrews",0
2020-03-19,"Andrews",0
2020-03-20,"Andrews",0
2020-03-21,"Andrews",0
2020-03-22,"Andrews",0
2020-03-23,"Andrews",0
2020-03-24,"Andrews",0
2020-03-25,"Andrews",0
2020-03-26,"Andrews",0
2020-03-27,"Andrews",0
2020-03-28,"Andrews",0
2020-03-29,"Andrews",0
2020-03-30,"Andrews",0
2020-03-31,"Andrews",0
2020-04-01,"Andrews",0
2020-04-02,"Andrews",0
2020-04-03,"Andrews",0
2020-04-04,"Andrews",1
2020-04-05,"Andrews",5
2020-04-06,"Andrews",0
2020-04-07,"Andrews",4
2020-04-08,"Andrews",0
2020-04-09,"Andrews",0
2020-04-10,"Andrews",1
2020-04-11,"Andrews",0
2020-04-12,"Andrews",0
2020-04-13,"Andrews",1
2020-04-14,"Andrews",1
2020-04-15,"Andrews",0
2020-04-16,"Andrews",6
2020-04-17,"Andrews",0
2020-04-18,"Andrews",0
2020-04-19,"Andrews",0
2020-04-20,"Andrews",0
2020-04-21,"Andrews",0
2020-04-22,"Andrews",0
2020-04-23,"Andrews",0
2020-04-24,"Andrews",0
2020-04-25,"Andrews",0
2020-04-26,"Andrews",0
2020-04-27,"Andrews",0
2020-04-28,"Andrews",0
2020-04-29,"Andrews",0
2020-04-30,"Andrews",0
2020-05-01,"Andrews",1
2020-05-02,"Andrews",0
2020-05-03,"Andrews",1
2020-05-04,"Andrews",0
2020-05-05,"Andrews",0
2020-05-06,"Andrews",0
2020-05-07,"Andrews",0
2020-05-08,"Andrews",0
2020-05-09,"Andrews",0
2020-05-10,"Andrews",0
2020-05-11,"Andrews",0
2020-05-12,"Andrews",1
2020-05-13,"Andrews",0
2020-05-14,"Andrews",0
2020-05-15,"Andrews",0
2020-05-16,"Andrews",0
2020-05-17,"Andrews",0
2020-05-18,"Andrews",0
2020-05-19,"Andrews",0
2020-05-20,"Andrews",0
2020-05-21,"Andrews",0
2020-05-22,"Andrews",1
2020-05-23,"Andrews",0
2020-05-24,"Andrews",1
2020-05-25,"Andrews",3
2020-05-26,"Andrews",0
2020-05-27,"Andrews",0
2020-05-28,"Andrews",0
2020-05-29,"Andrews",0
2020-05-30,"Andrews",0
2020-05-31,"Andrews",0
2020-06-01,"Andrews",0
2020-06-02,"Andrews",0
2020-06-03,"Andrews",0
2020-06-04,"Andrews",0
2020-06-05,"Andrews",0
2020-06-06,"Andrews",0
2020-06-07,"Andrews",0
2020-06-08,"Andrews",0
2020-06-09,"Andrews",0
2020-06-10,"Andrews",0
2020-06-11,"Andrews",0
2020-06-12,"Andrews",0
2020-06-13,"Andrews",1
2020-06-14,"Andrews",0
2020-06-15,"Andrews",0
2020-06-16,"Andrews",2
2020-06-17,"Andrews",0
2020-06-18,"Andrews",3
2020-06-19,"Andrews",2
2020-06-20,"Andrews",7
2020-06-21,"Andrews",2
2020-06-22,"Andrews",0
2020-06-23,"Andrews",0
2020-06-24,"Andrews",2
2020-06-25,"Andrews",5
2020-06-26,"Andrews",5
2020-06-27,"Andrews",7
2020-06-28,"Andrews",10
2020-06-29,"Andrews",0
2020-06-30,"Andrews",2
2020-07-01,"Andrews",7
2020-07-02,"Andrews",7
2020-07-03,"Andrews",1
2020-07-04,"Andrews",8
2020-07-05,"Andrews",5
2020-07-06,"Andrews",0
2020-07-07,"Andrews",0
2020-07-08,"Andrews",17
2020-07-09,"Andrews",12
2020-07-10,"Andrews",0
2020-07-11,"Andrews",23
2020-07-12,"Andrews",14
2020-07-13,"Andrews",0
2020-07-14,"Andrews",1
2020-07-15,"Andrews",4
2020-07-16,"Andrews",2
2020-07-17,"Andrews",5
2020-07-18,"Andrews",6
2020-07-19,"Andrews",2
2020-07-20,"Andrews",0
2020-07-21,"Andrews",9
2020-07-22,"Andrews",14
2020-07-23,"Andrews",3
2020-07-24,"Andrews",4
2020-07-25,"Andrews",6
2020-07-26,"Andrews",0
2020-07-27,"Andrews",3
2020-07-28,"Andrews",4
2020-07-29,"Andrews",6
2020-07-30,"Andrews",15
2020-07-31,"Andrews",2
2020-08-01,"Andrews",0
2020-08-02,"Andrews",11
2020-08-03,"Andrews",1
2020-08-04,"Andrews",1
2020-08-05,"Andrews",5
2020-08-06,"Andrews",4
2020-08-07,"Andrews",2
2020-08-08,"Andrews",18
2020-08-09,"Andrews",0
2020-08-10,"Andrews",7
2020-08-11,"Andrews",0
2020-08-12,"Andrews",0
2020-08-13,"Andrews",12
2020-08-14,"Andrews",22
2020-08-15,"Andrews",0
2020-08-16,"Andrews",0
2020-08-17,"Andrews",0
2020-08-18,"Andrews",8
2020-08-19,"Andrews",0
2020-08-20,"Andrews",4
2020-08-21,"Andrews",5
2020-08-22,"Andrews",1
2020-08-23,"Andrews",0
2020-08-24,"Andrews",0
2020-08-25,"Andrews",0
2020-08-26,"Andrews",1
2020-08-27,"Andrews",5
2020-08-28,"Andrews",0
2020-08-29,"Andrews",0
2020-08-30,"Andrews",0
2020-08-31,"Andrews",5
2020-03-04,"Angelina",0
2020-03-05,"Angelina",0
2020-03-06,"Angelina",0
2020-03-07,"Angelina",0
2020-03-08,"Angelina",0
2020-03-09,"Angelina",0
2020-03-10,"Angelina",0
2020-03-11,"Angelina",0
2020-03-12,"Angelina",0
2020-03-13,"Angelina",0
2020-03-14,"Angelina",0
2020-03-15,"Angelina",0
2020-03-16,"Angelina",0
2020-03-17,"Angelina",0
2020-03-18,"Angelina",0
2020-03-19,"Angelina",0
2020-03-20,"Angelina",0
2020-03-21,"Angelina",0
2020-03-22,"Angelina",0
2020-03-23,"Angelina",0
2020-03-24,"Angelina",0
2020-03-25,"Angelina",0
2020-03-26,"Angelina",1
2020-03-27,"Angelina",0
2020-03-28,"Angelina",0
2020-03-29,"Angelina",2
2020-03-30,"Angelina",0
2020-03-31,"Angelina",1
2020-04-01,"Angelina",1
2020-04-02,"Angelina",0
2020-04-03,"Angelina",3
2020-04-04,"Angelina",2
2020-04-05,"Angelina",0
2020-04-06,"Angelina",4
2020-04-07,"Angelina",0
2020-04-08,"Angelina",0
2020-04-09,"Angelina",1
2020-04-10,"Angelina",1
2020-04-11,"Angelina",0
2020-04-12,"Angelina",0
2020-04-13,"Angelina",0
2020-04-14,"Angelina",1
2020-04-15,"Angelina",0
2020-04-16,"Angelina",3
2020-04-17,"Angelina",3
2020-04-18,"Angelina",0
2020-04-19,"Angelina",0
2020-04-20,"Angelina",0
2020-04-21,"Angelina",4
2020-04-22,"Angelina",3
2020-04-23,"Angelina",1
2020-04-24,"Angelina",2
2020-04-25,"Angelina",3
2020-04-26,"Angelina",0
2020-04-27,"Angelina",0
2020-04-28,"Angelina",10
2020-04-29,"Angelina",3
2020-04-30,"Angelina",4
2020-05-01,"Angelina",1
2020-05-02,"Angelina",1
2020-05-03,"Angelina",0
2020-05-04,"Angelina",0
2020-05-05,"Angelina",24
2020-05-06,"Angelina",7
2020-05-07,"Angelina",7
2020-05-08,"Angelina",7
2020-05-09,"Angelina",0
2020-05-10,"Angelina",0
2020-05-11,"Angelina",0
2020-05-12,"Angelina",17
2020-05-13,"Angelina",0
2020-05-14,"Angelina",2
2020-05-15,"Angelina",12
2020-05-16,"Angelina",8
2020-05-17,"Angelina",0
2020-05-18,"Angelina",0
2020-05-19,"Angelina",15
2020-05-20,"Angelina",0
2020-05-21,"Angelina",14
2020-05-22,"Angelina",4
2020-05-23,"Angelina",3
2020-05-24,"Angelina",0
2020-05-25,"Angelina",0
2020-05-26,"Angelina",0
2020-05-27,"Angelina",18
2020-05-28,"Angelina",8
2020-05-29,"Angelina",2
2020-05-30,"Angelina",2
2020-05-31,"Angelina",0
2020-06-01,"Angelina",0
2020-06-02,"Angelina",10
2020-06-03,"Angelina",17
2020-06-04,"Angelina",0
2020-06-05,"Angelina",0
2020-06-06,"Angelina",5
2020-06-07,"Angelina",0
2020-06-08,"Angelina",0
2020-06-09,"Angelina",0
2020-06-10,"Angelina",44
2020-06-11,"Angelina",0
2020-06-12,"Angelina",28
2020-06-13,"Angelina",0
2020-06-14,"Angelina",0
2020-06-15,"Angelina",0
2020-06-16,"Angelina",22
2020-06-17,"Angelina",21
2020-06-18,"Angelina",0
2020-06-19,"Angelina",14
2020-06-20,"Angelina",14
2020-06-21,"Angelina",0
2020-06-22,"Angelina",0
2020-06-23,"Angelina",35
2020-06-24,"Angelina",11
2020-06-25,"Angelina",19
2020-06-26,"Angelina",19
2020-06-27,"Angelina",0
2020-06-28,"Angelina",0
2020-06-29,"Angelina",0
2020-06-30,"Angelina",12
2020-07-01,"Angelina",31
2020-07-02,"Angelina",12
2020-07-03,"Angelina",22
2020-07-04,"Angelina",0
2020-07-05,"Angelina",0
2020-07-06,"Angelina",0
2020-07-07,"Angelina",69
2020-07-08,"Angelina",0
2020-07-09,"Angelina",35
2020-07-10,"Angelina",38
2020-07-11,"Angelina",60
2020-07-12,"Angelina",0
2020-07-13,"Angelina",0
2020-07-14,"Angelina",91
2020-07-15,"Angelina",0
2020-07-16,"Angelina",106
2020-07-17,"Angelina",60
2020-07-18,"Angelina",0
2020-07-19,"Angelina",0
2020-07-20,"Angelina",0
2020-07-21,"Angelina",0
2020-07-22,"Angelina",234
2020-07-23,"Angelina",0
2020-07-24,"Angelina",149
2020-07-25,"Angelina",22
2020-07-26,"Angelina",0
2020-07-27,"Angelina",0
2020-07-28,"Angelina",82
2020-07-29,"Angelina",79
2020-07-30,"Angelina",40
2020-07-31,"Angelina",0
2020-08-01,"Angelina",41
2020-08-02,"Angelina",0
2020-08-03,"Angelina",0
2020-08-04,"Angelina",98
2020-08-05,"Angelina",10
2020-08-06,"Angelina",14
2020-08-07,"Angelina",27
2020-08-08,"Angelina",0
2020-08-09,"Angelina",0
2020-08-10,"Angelina",0
2020-08-11,"Angelina",32
2020-08-12,"Angelina",41
2020-08-13,"Angelina",0
2020-08-14,"Angelina",29
2020-08-15,"Angelina",8
2020-08-16,"Angelina",0
2020-08-17,"Angelina",0
2020-08-18,"Angelina",24
2020-08-19,"Angelina",0
2020-08-20,"Angelina",23
2020-08-21,"Angelina",0
2020-08-22,"Angelina",0
2020-08-23,"Angelina",11
2020-08-24,"Angelina",0
2020-08-25,"Angelina",4
2020-08-26,"Angelina",0
2020-08-27,"Angelina",0
2020-08-28,"Angelina",34
2020-08-29,"Angelina",0
2020-08-30,"Angelina",0
2020-08-31,"Angelina",3
2020-03-04,"Aransas",0
2020-03-05,"Aransas",0
2020-03-06,"Aransas",0
2020-03-07,"Aransas",0
2020-03-08,"Aransas",0
2020-03-09,"Aransas",0
2020-03-10,"Aransas",0
2020-03-11,"Aransas",0
2020-03-12,"Aransas",0
2020-03-13,"Aransas",0
2020-03-14,"Aransas",0
2020-03-15,"Aransas",0
2020-03-16,"Aransas",0
2020-03-17,"Aransas",0
2020-03-18,"Aransas",0
2020-03-19,"Aransas",0
2020-03-20,"Aransas",0
2020-03-21,"Aransas",0
2020-03-22,"Aransas",0
2020-03-23,"Aransas",0
2020-03-24,"Aransas",0
2020-03-25,"Aransas",0
2020-03-26,"Aransas",0
2020-03-27,"Aransas",0
2020-03-28,"Aransas",0
2020-03-29,"Aransas",0
2020-03-30,"Aransas",0
2020-03-31,"Aransas",0
2020-04-01,"Aransas",0
2020-04-02,"Aransas",0
2020-04-03,"Aransas",0
2020-04-04,"Aransas",0
2020-04-05,"Aransas",1
2020-04-06,"Aransas",0
2020-04-07,"Aransas",0
2020-04-08,"Aransas",1
2020-04-09,"Aransas",0
2020-04-10,"Aransas",0
2020-04-11,"Aransas",0
2020-04-12,"Aransas",0
2020-04-13,"Aransas",0
2020-04-14,"Aransas",0
2020-04-15,"Aransas",0
2020-04-16,"Aransas",0
2020-04-17,"Aransas",0
2020-04-18,"Aransas",0
2020-04-19,"Aransas",0
2020-04-20,"Aransas",0
2020-04-21,"Aransas",0
2020-04-22,"Aransas",0
2020-04-23,"Aransas",0
2020-04-24,"Aransas",0
2020-04-25,"Aransas",0
2020-04-26,"Aransas",0
2020-04-27,"Aransas",0
2020-04-28,"Aransas",0
2020-04-29,"Aransas",0
2020-04-30,"Aransas",0
2020-05-01,"Aransas",0
2020-05-02,"Aransas",0
2020-05-03,"Aransas",0
2020-05-04,"Aransas",0
2020-05-05,"Aransas",0
2020-05-06,"Aransas",0
2020-05-07,"Aransas",0
2020-05-08,"Aransas",0
2020-05-09,"Aransas",0
2020-05-10,"Aransas",0
2020-05-11,"Aransas",0
2020-05-12,"Aransas",0
2020-05-13,"Aransas",0
2020-05-14,"Aransas",1
2020-05-15,"Aransas",0
2020-05-16,"Aransas",0
2020-05-17,"Aransas",0
2020-05-18,"Aransas",0
2020-05-19,"Aransas",0
2020-05-20,"Aransas",1
2020-05-21,"Aransas",1
2020-05-22,"Aransas",0
2020-05-23,"Aransas",0
2020-05-24,"Aransas",0
2020-05-25,"Aransas",0
2020-05-26,"Aransas",0
2020-05-27,"Aransas",0
2020-05-28,"Aransas",0
2020-05-29,"Aransas",0
2020-05-30,"Aransas",0
2020-05-31,"Aransas",0
2020-06-01,"Aransas",0
2020-06-02,"Aransas",0
2020-06-03,"Aransas",0
2020-06-04,"Aransas",0
2020-06-05,"Aransas",0
2020-06-06,"Aransas",0
2020-06-07,"Aransas",0
2020-06-08,"Aransas",0
2020-06-09,"Aransas",0
2020-06-10,"Aransas",0
2020-06-11,"Aransas",0
2020-06-12,"Aransas",1
2020-06-13,"Aransas",0
2020-06-14,"Aransas",0
2020-06-15,"Aransas",0
2020-06-16,"Aransas",1
2020-06-17,"Aransas",0
2020-06-18,"Aransas",0
2020-06-19,"Aransas",0
2020-06-20,"Aransas",0
2020-06-21,"Aransas",0
2020-06-22,"Aransas",0
2020-06-23,"Aransas",3
2020-06-24,"Aransas",0
2020-06-25,"Aransas",0
2020-06-26,"Aransas",2
2020-06-27,"Aransas",4
2020-06-28,"Aransas",1
2020-06-29,"Aransas",3
2020-06-30,"Aransas",3
2020-07-01,"Aransas",1
2020-07-02,"Aransas",4
2020-07-03,"Aransas",3
2020-07-04,"Aransas",3
2020-07-05,"Aransas",1
2020-07-06,"Aransas",8
2020-07-07,"Aransas",1
2020-07-08,"Aransas",2
2020-07-09,"Aransas",3
2020-07-10,"Aransas",1
2020-07-11,"Aransas",0
2020-07-12,"Aransas",5
2020-07-13,"Aransas",1
2020-07-14,"Aransas",1
2020-07-15,"Aransas",8
2020-07-16,"Aransas",10
2020-07-17,"Aransas",6
2020-07-18,"Aransas",4
2020-07-19,"Aransas",6
2020-07-20,"Aransas",1
2020-07-21,"Aransas",14
2020-07-22,"Aransas",5
2020-07-23,"Aransas",3
2020-07-24,"Aransas",2
2020-07-25,"Aransas",7
2020-07-26,"Aransas",3
2020-07-27,"Aransas",5
2020-07-28,"Aransas",4
2020-07-29,"Aransas",1
2020-07-30,"Aransas",13
2020-07-31,"Aransas",4
2020-08-01,"Aransas",0
2020-08-02,"Aransas",4
2020-08-03,"Aransas",1
2020-08-04,"Aransas",0
2020-08-05,"Aransas",4
2020-08-06,"Aransas",3
2020-08-07,"Aransas",4
2020-08-08,"Aransas",3
2020-08-09,"Aransas",1
2020-08-10,"Aransas",4
2020-08-11,"Aransas",5
2020-08-12,"Aransas",1
2020-08-13,"Aransas",0
2020-08-14,"Aransas",3
2020-08-15,"Aransas",0
2020-08-16,"Aransas",1
2020-08-17,"Aransas",0
2020-08-18,"Aransas",3
2020-08-19,"Aransas",0
2020-08-20,"Aransas",0
2020-08-21,"Aransas",4
2020-08-22,"Aransas",3
2020-08-23,"Aransas",0
2020-08-24,"Aransas",1
2020-08-25,"Aransas",0
2020-08-26,"Aransas",0
2020-08-27,"Aransas",0
2020-08-28,"Aransas",10
2020-08-29,"Aransas",0
2020-08-30,"Aransas",2
2020-08-31,"Aransas",2
2020-03-04,"Archer",0
2020-03-05,"Archer",0
2020-03-06,"Archer",0
2020-03-07,"Archer",0
2020-03-08,"Archer",0
2020-03-09,"Archer",0
2020-03-10,"Archer",0
2020-03-11,"Archer",0
2020-03-12,"Archer",0
2020-03-13,"Archer",0
2020-03-14,"Archer",0
2020-03-15,"Archer",0
2020-03-16,"Archer",0
2020-03-17,"Archer",0
2020-03-18,"Archer",0
2020-03-19,"Archer",0
2020-03-20,"Archer",0
2020-03-21,"Archer",0
2020-03-22,"Archer",0
2020-03-23,"Archer",0
2020-03-24,"Archer",0
2020-03-25,"Archer",0
2020-03-26,"Archer",0
2020-03-27,"Archer",0
2020-03-28,"Archer",0
2020-03-29,"Archer",0
2020-03-30,"Archer",0
2020-03-31,"Archer",0
2020-04-01,"Archer",0
2020-04-02,"Archer",0
2020-04-03,"Archer",0
2020-04-04,"Archer",0
2020-04-05,"Archer",0
2020-04-06,"Archer",0
2020-04-07,"Archer",0
2020-04-08,"Archer",0
2020-04-09,"Archer",0
2020-04-10,"Archer",0
2020-04-11,"Archer",0
2020-04-12,"Archer",0
2020-04-13,"Archer",0
2020-04-14,"Archer",0
2020-04-15,"Archer",0
2020-04-16,"Archer",0
2020-04-17,"Archer",0
2020-04-18,"Archer",0
2020-04-19,"Archer",0
2020-04-20,"Archer",0
2020-04-21,"Archer",0
2020-04-22,"Archer",0
2020-04-23,"Archer",0
2020-04-24,"Archer",0
2020-04-25,"Archer",0
2020-04-26,"Archer",0
2020-04-27,"Archer",0
2020-04-28,"Archer",0
2020-04-29,"Archer",0
2020-04-30,"Archer",0
2020-05-01,"Archer",0
2020-05-02,"Archer",0
2020-05-03,"Archer",0
2020-05-04,"Archer",0
2020-05-05,"Archer",0
2020-05-06,"Archer",0
2020-05-07,"Archer",0
2020-05-08,"Archer",0
2020-05-09,"Archer",0
2020-05-10,"Archer",0
2020-05-11,"Archer",0
2020-05-12,"Archer",0
2020-05-13,"Archer",0
2020-05-14,"Archer",0
2020-05-15,"Archer",1
2020-05-16,"Archer",0
2020-05-17,"Archer",0
2020-05-18,"Archer",0
2020-05-19,"Archer",0
2020-05-20,"Archer",0
2020-05-21,"Archer",0
2020-05-22,"Archer",0
2020-05-23,"Archer",0
2020-05-24,"Archer",0
2020-05-25,"Archer",0
2020-05-26,"Archer",0
2020-05-27,"Archer",0
2020-05-28,"Archer",0
2020-05-29,"Archer",0
2020-05-30,"Archer",0
2020-05-31,"Archer",0
2020-06-01,"Archer",0
2020-06-02,"Archer",0
2020-06-03,"Archer",0
2020-06-04,"Archer",0
2020-06-05,"Archer",1
2020-06-06,"Archer",0
2020-06-07,"Archer",0
2020-06-08,"Archer",0
2020-06-09,"Archer",1
2020-06-10,"Archer",0
2020-06-11,"Archer",0
2020-06-12,"Archer",0
2020-06-13,"Archer",0
2020-06-14,"Archer",0
2020-06-15,"Archer",0
2020-06-16,"Archer",0
2020-06-17,"Archer",0
2020-06-18,"Archer",0
2020-06-19,"Archer",0
2020-06-20,"Archer",0
2020-06-21,"Archer",0
2020-06-22,"Archer",0
2020-06-23,"Archer",1
2020-06-24,"Archer",1
2020-06-25,"Archer",0
2020-06-26,"Archer",0
2020-06-27,"Archer",1
2020-06-28,"Archer",0
2020-06-29,"Archer",0
2020-06-30,"Archer",1
2020-07-01,"Archer",0
2020-07-02,"Archer",1
2020-07-03,"Archer",0
2020-07-04,"Archer",0
2020-07-05,"Archer",0
2020-07-06,"Archer",0
2020-07-07,"Archer",2
2020-07-08,"Archer",1
2020-07-09,"Archer",0
2020-07-10,"Archer",0
2020-07-11,"Archer",0
2020-07-12,"Archer",0
2020-07-13,"Archer",0
2020-07-14,"Archer",2
2020-07-15,"Archer",0
2020-07-16,"Archer",0
2020-07-17,"Archer",0
2020-07-18,"Archer",0
2020-07-19,"Archer",0
2020-07-20,"Archer",0
2020-07-21,"Archer",1
2020-07-22,"Archer",0
2020-07-23,"Archer",0
2020-07-24,"Archer",0
2020-07-25,"Archer",2
2020-07-26,"Archer",0
2020-07-27,"Archer",0
2020-07-28,"Archer",0
2020-07-29,"Archer",0
2020-07-30,"Archer",2
2020-07-31,"Archer",0
2020-08-01,"Archer",3
2020-08-02,"Archer",0
2020-08-03,"Archer",0
2020-08-04,"Archer",0
2020-08-05,"Archer",0
2020-08-06,"Archer",1
2020-08-07,"Archer",0
2020-08-08,"Archer",0
2020-08-09,"Archer",0
2020-08-10,"Archer",0
2020-08-11,"Archer",6
2020-08-12,"Archer",1
2020-08-13,"Archer",1
2020-08-14,"Archer",2
2020-08-15,"Archer",2
2020-08-16,"Archer",0
2020-08-17,"Archer",0
2020-08-18,"Archer",0
2020-08-19,"Archer",0
2020-08-20,"Archer",0
2020-08-21,"Archer",3
2020-08-22,"Archer",3
2020-08-23,"Archer",0
2020-08-24,"Archer",0
2020-08-25,"Archer",1
2020-08-26,"Archer",2
2020-08-27,"Archer",4
2020-08-28,"Archer",2
2020-08-29,"Archer",1
2020-08-30,"Archer",0
2020-08-31,"Archer",0
2020-03-04,"Armstrong",0
2020-03-05,"Armstrong",0
2020-03-06,"Armstrong",0
2020-03-07,"Armstrong",0
2020-03-08,"Armstrong",0
2020-03-09,"Armstrong",0
2020-03-10,"Armstrong",0
2020-03-11,"Armstrong",0
2020-03-12,"Armstrong",0
2020-03-13,"Armstrong",0
2020-03-14,"Armstrong",0
2020-03-15,"Armstrong",0
2020-03-16,"Armstrong",0
2020-03-17,"Armstrong",0
2020-03-18,"Armstrong",0
2020-03-19,"Armstrong",0
2020-03-20,"Armstrong",0
2020-03-21,"Armstrong",0
2020-03-22,"Armstrong",0
2020-03-23,"Armstrong",0
2020-03-24,"Armstrong",0
2020-03-25,"Armstrong",0
2020-03-26,"Armstrong",0
2020-03-27,"Armstrong",0
2020-03-28,"Armstrong",0
2020-03-29,"Armstrong",0
2020-03-30,"Armstrong",0
2020-03-31,"Armstrong",0
2020-04-01,"Armstrong",0
2020-04-02,"Armstrong",0
2020-04-03,"Armstrong",0
2020-04-04,"Armstrong",0
2020-04-05,"Armstrong",0
2020-04-06,"Armstrong",0
2020-04-07,"Armstrong",0
2020-04-08,"Armstrong",0
