Date,Level,COVID_ICU_Beds,COVID_ICU_Patients,COVID_General_Beds,COVID_General_Patients
2022-01-30,Brazoria,39,14,243,40
2022-01-31,Brazoria,13,14,253,51
2022-02-01,Brazoria,14,14,246,49
2022-02-02,Brazoria,10,14,256,49
2022-02-03,Brazoria,40,7,219,51
2022-02-04,Brazoria,6,7,194,37
2022-02-05,Brazoria,39,7,231,34
2022-02-06,Brazoria,40,9,184,33
2022-02-07,Brazoria,39,9,196,31
2022-02-08,Brazoria,40,9,247,33
2022-02-09,Brazoria,39,8,205,38
2022-02-10,Brazoria,39,8,253,35
2022-02-11,Brazoria,36,6,260,38
2022-02-12,Brazoria,38,2,172,40
2022-02-13,Brazoria,37,2,232,41
2022-02-14,Brazoria,39,1,229,50
2022-02-15,Brazoria,38,2,243,37
2022-02-16,Brazoria,37,4,236,25
2022-02-17,Brazoria,38,5,250,22
2022-02-18,Brazoria,40,7,253,18
2022-02-19,Brazoria,35,4,232,31
2022-02-20,Brazoria,40,5,225,33
2022-02-21,Brazoria,40,5,232,26
2022-02-22,Brazoria,38,4,249,24
2022-02-23,Brazoria,40,4,234,21
2022-02-24,Brazoria,39,4,241,23
2022-02-25,Brazoria,37,3,245,23
2022-02-26,Brazoria,39,3,238,19
2022-02-27,Brazoria,39,3,229,15
2022-02-28,Brazoria,38,2,190,17
2022-03-01,Brazoria,37,4,256,17
2022-03-02,Brazoria,3,4,235,15
2022-03-03,Brazoria,36,4,239,14
2022-03-04,Brazoria,35,4,238,11
2022-03-05,Brazoria,39,4,227,9
2022-03-06,Brazoria,37,2,220,6
2022-03-07,Brazoria,39,2,222,3
2022-03-08,Brazoria,38,2,231,7
2022-03-09,Brazoria,38,2,172,3
2022-03-10,Brazoria,1,2,180,2
2022-03-11,Brazoria,40,2,237,4
2022-03-12,Brazoria,37,2,228,6
2022-03-13,Brazoria,30,2,227,4
2022-03-14,Brazoria,39,2,163,3
2022-03-15,Brazoria,39,2,225,2
2022-03-16,Brazoria,37,2,222,1
2022-03-17,Brazoria,39,2,158,1
2022-03-18,Brazoria,39,2,213,2
2022-03-19,Brazoria,40,3,169,6
2022-03-20,Brazoria,39,3,215,4
2022-03-21,Brazoria,40,1,230,6
2022-03-22,Brazoria,38,1,232,6
2022-03-23,Brazoria,40,1,225,6
2022-03-24,Brazoria,40,1,219,6
2022-03-25,Brazoria,38,1,200,5
2022-03-26,Brazoria,38,1,145,5
2022-03-27,Brazoria,38,1,192,6
2022-03-28,Brazoria,36,1,162,5
2022-03-29,Brazoria,40,1,212,5
2022-03-30,Brazoria,37,1,223,6
2022-03-31,Brazoria,36,2,205,3
2022-04-01,Brazoria,38,1,207,4
2022-04-02,Brazoria,39,1,188,4
2022-04-03,Brazoria,36,2,185,4
2022-04-04,Brazoria,39,2,203,4
2022-04-05,Brazoria,38,2,232,6
2022-04-06,Brazoria,39,2,235,6
2022-04-07,Brazoria,40,2,185,7
2022-04-08,Brazoria,39,2,173,5
2022-04-09,Brazoria,38,2,215,6
2022-04-10,Brazoria,38,2,204,6
2022-04-11,Brazoria,36,3,221,6
2022-04-12,Brazoria,39,2,248,5
2022-04-13,Brazoria,40,2,135,4
2022-04-14,Brazoria,1,2,225,5
2022-04-15,Brazoria,38,2,210,4
2022-04-16,Brazoria,39,2,208,4
2022-04-17,Brazoria,38,2,214,5
2022-04-18,Brazoria,37,2,227,4
2022-04-19,Brazoria,40,2,214,10
2022-04-20,Brazoria,38,2,232,2
2022-04-21,Brazoria,39,3,237,2
2022-04-22,Brazoria,40,2,217,4
2022-04-23,Brazoria,38,2,203,1
2022-04-24,Brazoria,39,1,200,3
2022-04-25,Brazoria,39,1,189,2
2022-04-26,Brazoria,40,2,202,2
2022-04-27,Brazoria,39,1,212,7
2022-04-28,Brazoria,38,0,217,2
2022-04-29,Brazoria,37,0,165,0
2022-04-30,Brazoria,31,0,213,0
2022-05-01,Brazoria,39,0,208,0
2022-05-02,Brazoria,33,0,157,0
2022-05-03,Brazoria,38,0,212,2
2022-05-04,Brazoria,40,0,222,2
2022-05-05,Brazoria,1,0,236,3
2022-05-06,Brazoria,38,0,223,4
2022-05-07,Brazoria,37,0,212,5
2022-05-08,Brazoria,40,1,186,5
2022-05-09,Brazoria,39,0,208,4
2022-05-10,Brazoria,40,0,244,3
2022-05-11,Brazoria,32,0,137,4
2022-05-12,Brazoria,38,0,208,3
2022-05-13,Brazoria,36,0,200,4
2022-05-14,Brazoria,39,0,207,3
2022-05-15,Brazoria,38,0,188,2
2022-05-16,Brazoria,37,0,1,2
2022-05-17,Brazoria,39,1,222,2
2022-05-18,Brazoria,0,1,245,3
2022-05-19,Brazoria,40,1,230,5
2022-05-20,Brazoria,39,1,228,5
2022-05-21,Brazoria,1,1,201,4
2022-05-22,Brazoria,1,1,189,6
2022-05-23,Brazoria,38,0,193,7
2022-05-24,Brazoria,38,0,208,6
2022-05-25,Brazoria,40,0,223,6
2022-05-26,Brazoria,38,1,217,6
2022-05-27,Brazoria,38,1,203,7
2022-05-28,Brazoria,37,2,212,4
2022-05-29,Brazoria,39,2,207,7
2022-05-30,Brazoria,39,2,219,8
2022-05-31,Brazoria,38,2,246,10
2022-06-01,Brazoria,40,3,269,13
2022-06-02,Brazoria,1,3,260,17
2022-06-03,Brazoria,39,3,215,11
2022-06-04,Brazoria,40,0,222,8
2022-06-05,Brazoria,38,1,218,13
2022-06-06,Brazoria,37,2,162,10
2022-06-07,Brazoria,38,3,216,11
2022-06-08,Brazoria,2,3,167,12
2022-06-09,Brazoria,37,1,230,8
2022-06-10,Brazoria,34,2,241,13
2022-06-11,Brazoria,38,2,242,12
2022-06-12,Brazoria,40,2,220,9
2022-06-13,Brazoria,5,2,247,10
2022-06-14,Brazoria,3,2,195,13
2022-06-15,Brazoria,3,2,233,7
2022-06-16,Brazoria,4,2,186,6
2022-06-17,Brazoria,37,3,115,11
2022-06-18,Brazoria,39,1,210,10
2022-06-19,Brazoria,38,0,214,11
2022-06-20,Brazoria,40,0,150,11
2022-06-21,Brazoria,38,1,242,10
2022-06-22,Brazoria,36,0,222,6
2022-06-23,Brazoria,40,0,229,12
2022-06-24,Brazoria,39,2,222,13
2022-06-25,Brazoria,40,1,219,14
2022-06-26,Brazoria,38,0,206,21
2022-06-27,Brazoria,37,0,257,18
2022-06-28,Brazoria,39,0,243,16
2022-06-29,Brazoria,2,0,231,20
2022-06-30,Brazoria,40,1,177,15
2022-07-01,Brazoria,0,1,248,11
2022-07-02,Brazoria,1,1,224,17
2022-07-03,Brazoria,2,1,212,12
2022-07-04,Brazoria,38,1,211,6
2022-07-05,Brazoria,3,1,164,7
2022-07-06,Brazoria,39,1,215,13
2022-07-07,Brazoria,38,1,229,20
2022-07-08,Brazoria,40,2,227,21
2022-07-09,Brazoria,38,1,235,20
2022-07-10,Brazoria,4,1,232,15
2022-07-11,Brazoria,37,1,233,15
2022-07-12,Brazoria,40,1,243,17
2022-07-13,Brazoria,40,1,250,19
2022-07-14,Brazoria,2,1,237,19
2022-07-15,Brazoria,38,1,240,20
2022-07-16,Brazoria,40,1,222,18
2022-07-17,Brazoria,40,1,161,16
2022-07-18,Brazoria,40,1,220,14
2022-07-19,Brazoria,2,1,223,27
2022-07-20,Brazoria,2,1,238,25
2022-07-21,Brazoria,39,1,223,20
2022-07-22,Brazoria,39,1,221,21
2022-07-23,Brazoria,35,1,233,26
2022-07-24,Brazoria,38,1,215,19
2022-07-25,Brazoria,37,2,233,25
2022-07-26,Brazoria,39,1,192,25
2022-07-27,Brazoria,3,1,259,22
2022-07-28,Brazoria,33,1,265,26
2022-07-29,Brazoria,34,2,265,26
2022-07-30,Brazoria,38,4,136,32
2022-07-31,Brazoria,37,2,214,35
2022-08-01,Brazoria,39,2,163,31
2022-08-02,Brazoria,5,2,224,29
2022-08-03,Brazoria,35,2,167,23
2022-08-04,Brazoria,36,3,159,21
2022-08-05,Brazoria,40,3,158,24
2022-08-06,Brazoria,38,3,195,18
2022-08-07,Brazoria,38,3,97,11
2022-08-08,Brazoria,6,3,165,24
2022-08-09,Brazoria,40,2,124,19
2022-08-10,Brazoria,40,2,221,20
2022-08-11,Brazoria,40,2,164,21
2022-08-12,Brazoria,39,2,160,19
2022-08-13,Brazoria,3,2,207,13
2022-08-14,Brazoria,40,2,226,15
2022-08-15,Brazoria,39,2,174,19
2022-08-16,Brazoria,4,2,175,23
2022-08-17,Brazoria,40,2,182,22
2022-08-18,Brazoria,40,2,232,15
2022-08-19,Brazoria,39,1,164,15
2022-08-20,Brazoria,36,3,158,19
2022-08-21,Brazoria,39,1,131,19
2022-08-22,Brazoria,0,1,152,24
2020-04-01,Fort Bend,95,5,344,5
2020-04-02,Fort Bend,90,5,499,10
2020-04-03,Fort Bend,89,16,385,29
2020-04-04,Fort Bend,75,38,547,71
2020-04-05,Fort Bend,77,40,683,43
2020-04-06,Fort Bend,87,15,334,40
2020-04-07,Fort Bend,86,20,401,51
2020-04-08,Fort Bend,88,33,424,40
2020-04-09,Fort Bend,87,20,374,49
2020-04-10,Fort Bend,79,65,543,60
2020-04-11,Fort Bend,78,17,360,43
2020-04-12,Fort Bend,22,17,399,49
2020-04-13,Fort Bend,84,55,569,49
2020-04-14,Fort Bend,81,17,396,45
2020-04-15,Fort Bend,77,28,634,53
2020-04-16,Fort Bend,84,24,449,33
2020-04-17,Fort Bend,89,27,494,39
2020-04-18,Fort Bend,80,36,620,55
2020-04-19,Fort Bend,85,23,407,36
2020-04-20,Fort Bend,86,22,446,33
2020-04-21,Fort Bend,88,20,445,33
2020-04-22,Fort Bend,93,23,458,30
2020-04-23,Fort Bend,74,10,494,32
2020-04-24,Fort Bend,65,11,463,25
2020-04-25,Fort Bend,70,13,460,28
2020-04-26,Fort Bend,67,10,421,35
2020-04-27,Fort Bend,78,14,433,33
2020-04-28,Fort Bend,88,16,457,43
2020-04-29,Fort Bend,79,10,478,34
2020-04-30,Fort Bend,71,14,463,27
2020-05-01,Fort Bend,74,12,475,29
2020-05-02,Fort Bend,75,6,279,12
2020-05-03,Fort Bend,74,18,400,18
2020-05-04,Fort Bend,82,17,437,30
2020-05-05,Fort Bend,81,17,484,24
2020-05-06,Fort Bend,96,17,503,22
2020-05-07,Fort Bend,82,17,522,21
2020-05-08,Fort Bend,79,14,512,24
2020-05-09,Fort Bend,70,16,526,20
2020-05-10,Fort Bend,66,12,464,35
2020-05-11,Fort Bend,76,14,505,24
2020-05-12,Fort Bend,74,8,530,26
2020-05-13,Fort Bend,78,11,531,25
2020-05-14,Fort Bend,94,9,505,20
2020-05-15,Fort Bend,68,11,560,26
2020-05-16,Fort Bend,67,8,443,19
2020-05-17,Fort Bend,63,8,474,21
2020-05-18,Fort Bend,75,11,510,17
2020-05-19,Fort Bend,79,15,520,20
2020-05-20,Fort Bend,86,14,584,18
2020-05-21,Fort Bend,85,11,601,21
2020-05-22,Fort Bend,77,7,594,28
2020-05-23,Fort Bend,72,5,418,17
2020-05-24,Fort Bend,8,5,569,26
2020-05-25,Fort Bend,71,7,498,26
2020-05-26,Fort Bend,81,11,27,26
2020-05-27,Fort Bend,96,15,582,51
2020-05-28,Fort Bend,80,11,502,27
2020-05-29,Fort Bend,90,12,553,23
2020-05-30,Fort Bend,84,12,554,42
2020-05-31,Fort Bend,87,18,524,34
2020-06-01,Fort Bend,88,19,554,35
2020-06-02,Fort Bend,73,21,595,38
2020-06-03,Fort Bend,88,22,567,41
2020-06-04,Fort Bend,78,12,603,38
2020-06-05,Fort Bend,24,12,612,39
2020-06-06,Fort Bend,83,12,335,32
2020-06-07,Fort Bend,81,14,492,39
2020-06-08,Fort Bend,76,14,485,32
2020-06-09,Fort Bend,81,17,550,50
2020-06-10,Fort Bend,82,13,605,49
2020-06-11,Fort Bend,86,13,576,61
2020-06-12,Fort Bend,76,11,602,52
2020-06-13,Fort Bend,12,11,437,44
2020-06-14,Fort Bend,65,16,420,52
2020-06-15,Fort Bend,83,12,531,56
2020-06-16,Fort Bend,85,17,571,82
2020-06-17,Fort Bend,95,15,608,68
2020-06-18,Fort Bend,90,22,645,104
2020-06-19,Fort Bend,85,20,611,94
2020-06-20,Fort Bend,84,29,586,113
2020-06-21,Fort Bend,85,29,549,100
2020-06-22,Fort Bend,93,27,615,118
2020-06-23,Fort Bend,96,32,630,109
2020-06-24,Fort Bend,93,39,600,124
2020-06-25,Fort Bend,95,42,633,153
2020-06-26,Fort Bend,97,43,623,144
2020-06-27,Fort Bend,50,43,614,152
2020-06-28,Fort Bend,95,55,587,145
2020-06-29,Fort Bend,56,55,598,136
2020-06-30,Fort Bend,43,55,540,139
2020-07-01,Fort Bend,96,51,635,183
2020-07-02,Fort Bend,93,55,597,211
2020-07-03,Fort Bend,79,46,640,194
2020-07-04,Fort Bend,81,60,580,202
2020-07-05,Fort Bend,107,55,569,199
2020-07-06,Fort Bend,93,49,613,217
2020-07-07,Fort Bend,94,45,592,190
2020-07-08,Fort Bend,99,55,646,222
2020-07-09,Fort Bend,111,52,649,213
2020-07-10,Fort Bend,112,57,665,223
2020-07-11,Fort Bend,111,58,611,199
2020-07-12,Fort Bend,114,66,617,195
2020-07-13,Fort Bend,113,64,199,195
2020-07-14,Fort Bend,116,66,619,204
2020-07-15,Fort Bend,119,63,617,206
2020-07-16,Fort Bend,117,73,604,198
2020-07-17,Fort Bend,107,71,585,169
2020-07-18,Fort Bend,102,69,565,165
2020-07-19,Fort Bend,105,73,558,203
2020-07-20,Fort Bend,67,73,587,197
2020-07-21,Fort Bend,106,70,599,210
2020-07-22,Fort Bend,114,68,604,197
2020-07-23,Fort Bend,64,68,573,177
2020-07-24,Fort Bend,107,63,607,160
2020-07-25,Fort Bend,105,59,605,165
2020-07-26,Fort Bend,97,60,564,152
2020-07-27,Fort Bend,116,62,528,162
2020-07-28,Fort Bend,118,63,519,170
2020-07-29,Fort Bend,110,52,584,152
2020-07-30,Fort Bend,96,51,611,152
2020-07-31,Fort Bend,114,44,585,144
2020-08-01,Fort Bend,111,40,570,117
2020-08-02,Fort Bend,115,33,417,81
2020-08-03,Fort Bend,111,39,574,134
2020-08-04,Fort Bend,114,46,554,114
2020-08-05,Fort Bend,115,41,524,94
2020-08-06,Fort Bend,103,43,580,80
2020-08-07,Fort Bend,98,45,541,98
2020-08-08,Fort Bend,104,35,534,100
2020-08-09,Fort Bend,110,32,553,83
2020-08-10,Fort Bend,106,28,593,90
2020-08-11,Fort Bend,96,25,458,80
2020-08-12,Fort Bend,103,37,572,76
2020-08-13,Fort Bend,107,36,596,70
2020-08-14,Fort Bend,110,28,619,89
2020-08-15,Fort Bend,108,27,594,67
2020-08-16,Fort Bend,110,34,525,72
2020-08-17,Fort Bend,106,37,561,73
2020-08-18,Fort Bend,105,31,589,81
2020-08-19,Fort Bend,97,24,576,59
2020-08-20,Fort Bend,101,18,486,55
2020-08-21,Fort Bend,100,23,592,46
2020-08-22,Fort Bend,89,20,527,48
2020-08-23,Fort Bend,97,25,959,47
2020-08-24,Fort Bend,96,20,516,54
2020-08-25,Fort Bend,103,21,562,59
2020-08-26,Fort Bend,105,21,590,56
2020-08-27,Fort Bend,110,20,570,50
2020-08-28,Fort Bend,102,21,561,54
2020-08-29,Fort Bend,115,18,399,49
2020-08-30,Fort Bend,111,17,562,44
2020-08-31,Fort Bend,101,16,547,34
2020-09-01,Fort Bend,114,19,616,52
2020-09-02,Fort Bend,117,18,631,46
2020-09-03,Fort Bend,109,20,626,45
2020-09-04,Fort Bend,111,19,550,42
2020-09-05,Fort Bend,98,10,580,52
2020-09-06,Fort Bend,100,16,519,35
2020-09-07,Fort Bend,91,15,565,39
2020-09-08,Fort Bend,109,8,441,43
2020-09-09,Fort Bend,115,12,633,58
2020-09-10,Fort Bend,116,6,627,46
2020-09-11,Fort Bend,113,6,512,38
2020-09-12,Fort Bend,102,7,592,38
2020-09-13,Fort Bend,97,6,541,33
2020-09-14,Fort Bend,107,11,585,26
2020-09-15,Fort Bend,110,7,539,38
2020-09-16,Fort Bend,90,7,601,32
2020-09-17,Fort Bend,106,6,567,27
2020-09-18,Fort Bend,100,4,600,27
2020-09-19,Fort Bend,96,8,568,25
2020-09-20,Fort Bend,107,6,528,24
2020-09-21,Fort Bend,100,7,497,28
2020-09-22,Fort Bend,103,7,536,29
2020-09-23,Fort Bend,104,13,530,33
2020-09-24,Fort Bend,103,7,502,35
2020-09-25,Fort Bend,8,7,504,32
2020-09-26,Fort Bend,90,7,582,44
2020-09-27,Fort Bend,88,6,546,25
2020-09-28,Fort Bend,100,5,517,25
2020-09-29,Fort Bend,105,11,557,22
2020-09-30,Fort Bend,103,11,540,17
2020-10-01,Fort Bend,104,7,535,19
2020-10-02,Fort Bend,5,7,514,19
2020-10-03,Fort Bend,91,4,528,25
2020-10-04,Fort Bend,92,4,492,33
2020-10-05,Fort Bend,96,5,442,22
2020-10-06,Fort Bend,111,14,571,26
2020-10-07,Fort Bend,80,7,600,33
2020-10-08,Fort Bend,105,9,595,32
2020-10-09,Fort Bend,108,9,552,26
2020-10-10,Fort Bend,75,9,548,23
2020-10-11,Fort Bend,86,10,541,24
2020-10-12,Fort Bend,105,9,525,27
2020-10-13,Fort Bend,98,7,508,29
2020-10-14,Fort Bend,104,15,604,40
2020-10-15,Fort Bend,106,12,598,43
2020-10-16,Fort Bend,102,10,586,38
2020-10-17,Fort Bend,95,6,557,36
2020-10-18,Fort Bend,92,7,506,34
2020-10-19,Fort Bend,93,11,529,37
2020-10-20,Fort Bend,109,9,563,52
2020-10-21,Fort Bend,102,10,559,45
2020-10-22,Fort Bend,99,5,574,44
2020-10-23,Fort Bend,105,6,557,25
2020-10-24,Fort Bend,95,12,465,44
2020-10-25,Fort Bend,10,12,517,36
2020-10-26,Fort Bend,92,9,528,30
2020-10-27,Fort Bend,97,7,581,35
2020-10-28,Fort Bend,96,10,610,33
2020-10-29,Fort Bend,81,8,592,42
2020-10-30,Fort Bend,98,13,558,44
2020-10-31,Fort Bend,68,12,546,47
2020-11-01,Fort Bend,72,13,509,31
2020-11-02,Fort Bend,90,18,473,37
2020-11-03,Fort Bend,93,13,525,34
2020-11-04,Fort Bend,88,13,557,44
2020-11-05,Fort Bend,94,14,584,47
2020-11-06,Fort Bend,95,15,619,45
2020-11-07,Fort Bend,16,15,598,42
2020-11-08,Fort Bend,100,15,576,50
2020-11-09,Fort Bend,107,15,496,57
2020-11-10,Fort Bend,104,18,604,56
2020-11-11,Fort Bend,111,19,632,62
2020-11-12,Fort Bend,113,20,609,62
2020-11-13,Fort Bend,108,26,593,69
2020-11-14,Fort Bend,106,18,605,69
2020-11-15,Fort Bend,92,22,567,55
2020-11-16,Fort Bend,109,20,501,61
2020-11-17,Fort Bend,107,16,535,63
2020-11-18,Fort Bend,105,20,610,65
2020-11-19,Fort Bend,109,11,609,70
2020-11-20,Fort Bend,110,25,628,71
2020-11-21,Fort Bend,105,27,489,72
2020-11-22,Fort Bend,106,18,573,82
2020-11-23,Fort Bend,112,18,553,78
2020-11-24,Fort Bend,109,21,566,52
2020-11-25,Fort Bend,110,26,559,79
2020-11-26,Fort Bend,102,19,567,84
2020-11-27,Fort Bend,110,21,466,76
2020-11-28,Fort Bend,100,22,522,75
2020-11-29,Fort Bend,20,22,549,91
2020-11-30,Fort Bend,105,24,515,101
2020-12-01,Fort Bend,101,20,610,103
2020-12-02,Fort Bend,108,33,633,90
2020-12-03,Fort Bend,102,25,649,97
2020-12-04,Fort Bend,116,32,639,87
2020-12-05,Fort Bend,109,34,596,88
2020-12-06,Fort Bend,102,33,607,93
2020-12-07,Fort Bend,117,30,629,104
2020-12-08,Fort Bend,111,29,681,99
2020-12-09,Fort Bend,113,35,646,93
2020-12-10,Fort Bend,105,30,671,101
2020-12-11,Fort Bend,110,38,658,93
2020-12-12,Fort Bend,101,28,570,103
2020-12-13,Fort Bend,94,29,627,103
2020-12-14,Fort Bend,111,35,609,101
2020-12-15,Fort Bend,109,33,640,100
2020-12-16,Fort Bend,116,37,643,102
2020-12-17,Fort Bend,114,33,666,89
2020-12-18,Fort Bend,111,30,621,105
2020-12-19,Fort Bend,109,26,632,93
2020-12-20,Fort Bend,102,26,599,101
2020-12-21,Fort Bend,88,26,626,91
2020-12-22,Fort Bend,109,28,608,100
2020-12-23,Fort Bend,112,30,521,96
2020-12-24,Fort Bend,113,28,801,100
2020-12-25,Fort Bend,105,36,714,90
2020-12-26,Fort Bend,110,30,758,96
2020-12-27,Fort Bend,115,32,843,107
2020-12-28,Fort Bend,116,24,940,132
2020-12-29,Fort Bend,107,30,911,140
2020-12-30,Fort Bend,115,37,693,137
2020-12-31,Fort Bend,31,37,505,145
2021-01-01,Fort Bend,114,37,504,137
2021-01-02,Fort Bend,113,34,1008,142
2021-01-03,Fort Bend,117,37,606,139
2021-01-04,Fort Bend,118,40,611,155
2021-01-05,Fort Bend,112,37,379,162
2021-01-06,Fort Bend,114,30,606,151
2021-01-07,Fort Bend,43,30,683,164
2021-01-08,Fort Bend,112,37,708,180
2021-01-09,Fort Bend,113,40,678,169
2021-01-10,Fort Bend,116,45,663,188
2021-01-11,Fort Bend,118,43,649,178
2021-01-12,Fort Bend,115,49,651,167
2021-01-13,Fort Bend,48,49,715,172
2021-01-14,Fort Bend,116,49,713,179
2021-01-15,Fort Bend,46,49,668,168
2021-01-16,Fort Bend,117,48,690,162
2021-01-17,Fort Bend,119,50,656,154
2021-01-18,Fort Bend,117,50,643,160
2021-01-19,Fort Bend,116,53,644,152
2021-01-20,Fort Bend,44,53,716,168
2021-01-21,Fort Bend,107,46,714,169
2021-01-22,Fort Bend,119,46,706,155
2021-01-23,Fort Bend,42,46,702,149
2021-01-24,Fort Bend,118,44,686,141
2021-01-25,Fort Bend,117,50,653,147
2021-01-26,Fort Bend,42,50,677,153
2021-01-27,Fort Bend,83,40,740,148
2021-01-28,Fort Bend,119,41,733,138
2021-01-29,Fort Bend,114,36,718,137
2021-01-30,Fort Bend,117,43,649,132
2021-01-31,Fort Bend,29,43,653,125
2021-02-01,Fort Bend,27,43,659,161
2021-02-02,Fort Bend,113,33,651,137
2021-02-03,Fort Bend,112,25,690,161
2021-02-04,Fort Bend,114,25,626,150
2021-02-05,Fort Bend,116,27,692,147
2021-02-06,Fort Bend,115,18,624,129
2021-02-07,Fort Bend,117,19,642,114
2021-02-08,Fort Bend,33,19,623,114
2021-02-09,Fort Bend,115,42,661,114
2021-02-10,Fort Bend,27,42,705,133
2021-02-11,Fort Bend,116,32,731,127
2021-02-12,Fort Bend,119,38,720,107
2021-02-13,Fort Bend,116,30,693,104
2021-02-14,Fort Bend,118,21,632,100
2021-02-15,Fort Bend,114,23,461,93
2021-02-16,Fort Bend,115,18,556,91
2021-02-17,Fort Bend,118,21,592,106
2021-02-18,Fort Bend,121,20,599,100
2021-02-19,Fort Bend,117,16,696,91
2021-02-20,Fort Bend,120,20,714,85
2021-02-21,Fort Bend,121,21,672,101
2021-02-22,Fort Bend,120,21,694,106
2021-02-23,Fort Bend,119,19,655,96
2021-02-24,Fort Bend,115,17,707,92
2021-02-25,Fort Bend,118,18,642,93
2021-02-26,Fort Bend,115,19,729,77
2021-02-27,Fort Bend,111,14,679,78
2021-02-28,Fort Bend,119,18,633,98
2021-03-01,Fort Bend,113,16,634,94
2021-03-02,Fort Bend,114,13,722,106
2021-03-03,Fort Bend,115,16,635,88
2021-03-04,Fort Bend,18,16,673,97
2021-03-05,Fort Bend,114,17,687,95
2021-03-06,Fort Bend,111,18,622,73
2021-03-07,Fort Bend,110,15,558,70
2021-03-08,Fort Bend,108,20,650,86
2021-03-09,Fort Bend,116,19,637,92
2021-03-10,Fort Bend,115,22,620,77
2021-03-11,Fort Bend,117,21,698,82
2021-03-12,Fort Bend,111,23,703,66
2021-03-13,Fort Bend,117,17,601,75
2021-03-14,Fort Bend,112,23,409,54
2021-03-15,Fort Bend,113,24,605,57
2021-03-16,Fort Bend,112,21,617,52
2021-03-17,Fort Bend,113,20,666,62
2021-03-18,Fort Bend,118,18,665,58
2021-03-19,Fort Bend,112,20,592,55
2021-03-20,Fort Bend,109,19,527,59
2021-03-21,Fort Bend,15,19,504,56
2021-03-22,Fort Bend,104,16,588,67
2021-03-23,Fort Bend,113,17,593,57
2021-03-24,Fort Bend,114,14,673,67
2021-03-25,Fort Bend,113,15,636,70
2021-03-26,Fort Bend,114,16,680,72
2021-03-27,Fort Bend,109,13,625,54
2021-03-28,Fort Bend,100,12,613,86
2021-03-29,Fort Bend,109,17,664,68
2021-03-30,Fort Bend,104,15,626,63
2021-03-31,Fort Bend,114,13,676,68
2021-04-01,Fort Bend,115,17,678,65
2021-04-02,Fort Bend,114,15,661,64
2021-04-03,Fort Bend,115,18,479,71
2021-04-04,Fort Bend,112,19,454,68
2021-04-05,Fort Bend,104,17,463,55
2021-04-06,Fort Bend,111,17,619,60
2021-04-07,Fort Bend,110,17,646,59
2021-04-08,Fort Bend,113,23,596,56
2021-04-09,Fort Bend,115,20,585,56
2021-04-10,Fort Bend,120,19,592,43
2021-04-11,Fort Bend,113,20,577,66
2021-04-12,Fort Bend,19,20,646,80
2021-04-13,Fort Bend,18,20,666,68
2021-04-14,Fort Bend,112,16,689,67
2021-04-15,Fort Bend,111,13,691,71
2021-04-16,Fort Bend,114,10,557,68
2021-04-17,Fort Bend,116,12,614,45
2021-04-18,Fort Bend,119,7,405,49
2021-04-19,Fort Bend,114,18,608,65
2021-04-20,Fort Bend,86,18,701,60
2021-04-21,Fort Bend,115,21,606,77
2021-04-22,Fort Bend,83,19,710,94
2021-04-23,Fort Bend,16,19,717,75
2021-04-24,Fort Bend,107,15,579,52
2021-04-25,Fort Bend,113,15,516,59
2021-04-26,Fort Bend,17,15,650,62
2021-04-27,Fort Bend,110,19,627,79
2021-04-28,Fort Bend,119,20,67,79
2021-04-29,Fort Bend,113,17,695,69
2021-04-30,Fort Bend,115,16,657,73
2021-05-01,Fort Bend,82,12,598,70
2021-05-02,Fort Bend,110,17,570,60
2021-05-03,Fort Bend,107,18,559,62
2021-05-04,Fort Bend,111,16,671,73
2021-05-05,Fort Bend,113,14,61,73
2021-05-06,Fort Bend,103,10,700,67
2021-05-07,Fort Bend,106,12,645,75
2021-05-08,Fort Bend,101,14,599,55
2021-05-09,Fort Bend,109,11,611,55
2021-05-10,Fort Bend,80,13,647,57
2021-05-11,Fort Bend,106,10,662,64
2021-05-12,Fort Bend,104,12,666,66
2021-05-13,Fort Bend,103,7,654,47
2021-05-14,Fort Bend,106,7,588,53
2021-05-15,Fort Bend,102,3,586,52
2021-05-16,Fort Bend,105,4,542,51
2021-05-17,Fort Bend,103,8,581,38
2021-05-18,Fort Bend,105,8,558,36
2021-05-19,Fort Bend,101,7,617,49
2021-05-20,Fort Bend,101,7,622,56
2021-05-21,Fort Bend,108,5,538,60
2021-05-22,Fort Bend,116,7,468,39
2021-05-23,Fort Bend,105,6,513,46
2021-05-24,Fort Bend,106,2,483,35
2021-05-25,Fort Bend,97,5,626,53
2021-05-26,Fort Bend,95,2,644,45
2021-05-27,Fort Bend,100,3,536,45
2021-05-28,Fort Bend,108,4,476,56
2021-05-29,Fort Bend,101,4,509,43
2021-05-30,Fort Bend,99,3,481,14
2021-05-31,Fort Bend,4,3,431,30
2021-06-01,Fort Bend,94,3,472,30
2021-06-02,Fort Bend,92,3,542,37
2021-06-03,Fort Bend,96,7,672,61
2021-06-04,Fort Bend,104,4,671,35
2021-06-05,Fort Bend,99,6,553,40
2021-06-06,Fort Bend,8,6,570,35
2021-06-07,Fort Bend,98,5,610,42
2021-06-08,Fort Bend,6,5,656,53
2021-06-09,Fort Bend,106,4,659,40
2021-06-10,Fort Bend,101,6,643,44
2021-06-11,Fort Bend,98,6,617,34
2021-06-12,Fort Bend,102,6,575,35
